// Water Height aliases for maps.
// It affects WATER related skills as Water Ball, creation Holy Water, etc
// map_name map_water_level_to_use
// Example: Use geffen's water level for prontera when prontera.rsw isn't found in the grf.
// prontera.gat	geffen.gat

pvp_n_4-2.gat	job_hunter.gat
pvp_n_5-2.gat	job_hunter.gat
pvp_n_6-2.gat	job_hunter.gat
pvp_n_7-2.gat	job_hunter.gat
pvp_n_8-2.gat	job_hunter.gat
pvp_n_1-3.gat	job_wizard.gat
pvp_n_2-3.gat	job_wizard.gat
pvp_n_3-3.gat	job_wizard.gat
pvp_n_4-3.gat	job_wizard.gat
pvp_n_5-3.gat	job_wizard.gat
pvp_n_6-3.gat	job_wizard.gat
pvp_n_7-3.gat	job_wizard.gat
pvp_n_8-3.gat	job_wizard.gat
pvp_n_1-4.gat	job_priest.gat
pvp_n_2-4.gat	job_priest.gat
pvp_n_3-4.gat	job_priest.gat
pvp_n_4-4.gat	job_priest.gat
pvp_n_5-4.gat	job_priest.gat
pvp_n_6-4.gat	job_priest.gat
pvp_n_7-4.gat	job_priest.gat
pvp_n_8-4.gat	job_priest.gat
pvp_n_1-5.gat	job_knight.gat
pvp_n_2-5.gat	job_knight.gat
pvp_n_3-5.gat	job_knight.gat
pvp_n_4-5.gat	job_knight.gat
pvp_n_5-5.gat	job_knight.gat
pvp_n_6-5.gat	job_knight.gat
pvp_n_7-5.gat	job_knight.gat
pvp_n_8-5.gat	job_knight.gat
pvp_y_1-1.gat	prontera.gat
pvp_y_1-2.gat	izlude.gat
pvp_y_1-3.gat	payon.gat
pvp_y_1-4.gat	alberta.gat
pvp_y_1-5.gat	morocc.gat
pvp_y_2-1.gat	prontera.gat
pvp_y_2-2.gat	izlude.gat
pvp_y_2-3.gat	payon.gat
pvp_y_2-4.gat	alberta.gat
pvp_y_2-5.gat	morocc.gat
pvp_y_3-1.gat	prontera.gat
pvp_y_3-2.gat	izlude.gat
pvp_y_3-3.gat	payon.gat
pvp_y_3-4.gat	alberta.gat
pvp_y_3-5.gat	morocc.gat
pvp_y_4-1.gat	prontera.gat
pvp_y_4-2.gat	izlude.gat
pvp_y_4-3.gat	payon.gat
pvp_y_4-4.gat	alberta.gat
pvp_y_4-5.gat	morocc.gat
pvp_y_5-1.gat	prontera.gat
pvp_y_5-2.gat	izlude.gat
pvp_y_5-3.gat	payon.gat
pvp_y_5-4.gat	alberta.gat
pvp_y_5-5.gat	morocc.gat
pvp_y_6-1.gat	prontera.gat
pvp_y_6-2.gat	izlude.gat
pvp_y_6-3.gat	payon.gat
pvp_y_6-4.gat	alberta.gat
pvp_y_6-5.gat	morocc.gat
pvp_y_7-1.gat	prontera.gat
pvp_y_7-2.gat	izlude.gat
pvp_y_7-3.gat	payon.gat
pvp_y_7-4.gat	alberta.gat
pvp_y_7-5.gat	morocc.gat
pvp_y_8-1.gat	prontera.gat
pvp_y_8-2.gat	izlude.gat
pvp_y_8-3.gat	payon.gat
pvp_y_8-4.gat	alberta.gat
pvp_y_8-5.gat	morocc.gat		
pvp_y_room.gat	pvp_room.gat
pvp_c_room.gat	pvp_room.gat
pvp_n_room.gat	pvp_room.gat
sword_1-1.gat	job_sword1.gat
sword_2-1.gat	job_sword1.gat
sword_3-1.gat	job_sword1.gat
g_room1-1.gat	quiz_01.gat
g_room1-2.gat	quiz_01.gat
g_room1-3.gat	quiz_01.gat
g_room2.gat	quiz_01.gat
guild_room.gat	quiz_01.gat
guild_vs1-1.gat	guild_vs1.gat
guild_vs1-2.gat	guild_vs1.gat
guild_vs1-3.gat	guild_vs1.gat
guild_vs1-4.gat	guild_vs1.gat
guild_vs2-1.gat	guild_vs2.gat
guild_vs2-2.gat	guild_vs2.gat
quiz_test.gat	monk_test.gat
himinn.gat	valkyrie.gat
nguild_prt.gat	prtg_cas01.gat
nguild_pay.gat	payg_cas01.gat
nguild_alde.gat	aldeg_cas01.gat
nguild_gef.gat	gefg_cas01.gat
turbo_n_1.gat	alde_tt02.gat
turbo_n_4.gat	alde_tt02.gat
turbo_n_8.gat	alde_tt02.gat
turbo_n_16.gat	alde_tt02.gat
turbo_e_4.gat	alde_tt02.gat
turbo_e_8.gat	alde_tt02.gat
turbo_e_16.gat	alde_tt02.gat
que_sign02.gat	nif_fild02.gat
y_airport.gat	airport.gat
lhz_airport.gat	airport.gat
airplane_01.gat	airplane.gat
que_job03.gat	que_job02.gat
p_track02.gat	p_track01.gat
