// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// Red Potion
IG_BlueBox,613,12	// Iron Hammer
IG_BlueBox,614,12	// Golden Hammer
IG_BlueBox,615,12	// Oridecon Hammer
IG_BlueBox,618,12	// Worn Out Scroll
IG_BlueBox,619,12	// Unripe Apple
IG_BlueBox,620,12	// Orange Juice
IG_BlueBox,621,12	// Bitter Herb
IG_BlueBox,622,12	// Rainbow Carrot
IG_BlueBox,623,12	// Earthworm the Dude
IG_BlueBox,624,12	// Rotten Fish
IG_BlueBox,625,12	// Rusty Iron
IG_BlueBox,626,12	// Monster Juice
IG_BlueBox,627,12	// Sweet Milk
IG_BlueBox,628,12	// Well-Dried Bone
IG_BlueBox,629,12	// Singing Flower
IG_BlueBox,630,12	// Dew Laden Moss
IG_BlueBox,631,12	// Deadly Noxious Herb
IG_BlueBox,632,12	// Fatty Chubby Earthworm
IG_BlueBox,633,12	// Sweet Potato
IG_BlueBox,634,12	// Tropical Banana
IG_BlueBox,635,12	// Orc Trophy
IG_BlueBox,636,12	// No Recipient
IG_BlueBox,637,12	// Old Broom
IG_BlueBox,638,12	// Silver Knife of Chastity
IG_BlueBox,639,12	// Armlet of Obedience
IG_BlueBox,640,12	// Shining Stone
IG_BlueBox,641,12	// Contracts in Shadow
IG_BlueBox,642,12	// Book of the Devil
IG_BlueBox,643,12	// Pet Incubator
IG_BlueBox,644,312	// Gift Box
IG_BlueBox,645,12	// Concentration Potion
IG_BlueBox,656,12	// Awakening Potion
IG_BlueBox,657,12	// Berserk Potion
IG_BlueBox,659,12	// Her Heart
IG_BlueBox,663,12	// Songpyun
IG_BlueBox,664,12	// Gift Box
IG_BlueBox,665,12	// Gift Box
IG_BlueBox,666,12	// Gift Box
IG_BlueBox,667,12	// Gift Box
IG_BlueBox,668,12	// Red_Envelope
IG_BlueBox,678,12	// Poison Bottle
IG_BlueBox,679,12	// Pilule
IG_BlueBox,701,12	// Ora Ora
IG_BlueBox,702,12	// Animal Gore
IG_BlueBox,703,12	// Hinalle
IG_BlueBox,704,12	// Aloe
IG_BlueBox,705,12	// Clover
IG_BlueBox,706,12	// Four Leaf Clover
IG_BlueBox,707,12	// Singing Plant
IG_BlueBox,708,12	// Ment
IG_BlueBox,710,12	// Illusion Flower
IG_BlueBox,711,12	// Shoot
IG_BlueBox,712,12	// Flower
IG_BlueBox,713,12	// Empty Bottle
IG_BlueBox,715,12	// Yellow Gemstone
IG_BlueBox,716,12	// Red Gemstone
IG_BlueBox,717,12	// Blue Gemstone
IG_BlueBox,718,12	// Garnet
IG_BlueBox,719,12	// Amethyst
IG_BlueBox,720,12	// Aquamarine
IG_BlueBox,721,12	// Emerald
IG_BlueBox,722,12	// Pearl
IG_BlueBox,723,12	// Ruby
IG_BlueBox,724,12	// Cursed Ruby
IG_BlueBox,725,12	// Sardonyx
IG_BlueBox,726,12	// Sapphire
IG_BlueBox,727,12	// Opal
IG_BlueBox,728,12	// Topaz
IG_BlueBox,729,12	// Zircon
IG_BlueBox,730,12	// 1carat Diamond
IG_BlueBox,731,12	// 2carat Diamond
IG_BlueBox,732,12	// 3carat Diamond
IG_BlueBox,733,12	// Cracked Diamond
IG_BlueBox,734,12	// Red Frame
IG_BlueBox,735,12	// Chung Jah
IG_BlueBox,736,12	// China
IG_BlueBox,737,12	// Black Ladle
IG_BlueBox,738,12	// Pencil Case
IG_BlueBox,739,12	// Rouge
IG_BlueBox,740,12	// Puppet
IG_BlueBox,741,12	// Poring Doll
IG_BlueBox,742,12	// Chonchon Doll
IG_BlueBox,743,12	// Spore Doll
IG_BlueBox,744,12	// Bouquet
IG_BlueBox,745,12	// Wedding Bouquet
IG_BlueBox,746,12	// Glass Bead
IG_BlueBox,747,12	// Crystal Mirror
IG_BlueBox,748,12	// Witherless Rose
IG_BlueBox,749,12	// Frozen Rose
IG_BlueBox,750,12	// Baphomet Doll
IG_BlueBox,751,12	// Osiris Doll
IG_BlueBox,752,12	// Grasshopper Doll
IG_BlueBox,753,12	// Yoyo Doll
IG_BlueBox,754,12	// Raccoon Doll
IG_BlueBox,901,12	// Danggie
IG_BlueBox,902,12	// Tree Root
IG_BlueBox,903,12	// Reptile Tongue
IG_BlueBox,904,12	// Scorpion Tail
IG_BlueBox,905,12	// Stem
IG_BlueBox,906,12	// Pointed Scale
IG_BlueBox,907,12	// Resin
IG_BlueBox,908,12	// Spawn
IG_BlueBox,909,12	// Jellopy
IG_BlueBox,910,12	// Garlet
IG_BlueBox,911,12	// Scell
IG_BlueBox,912,12	// Zargon
IG_BlueBox,913,12	// Tooth of Bat
IG_BlueBox,914,12	// Fluff
IG_BlueBox,915,12	// Chrysalis
IG_BlueBox,916,12	// Feather of Birds
IG_BlueBox,917,12	// Talon
IG_BlueBox,918,12	// Sticky Webfoot
IG_BlueBox,919,12	// Animal Skin
IG_BlueBox,920,12	// Wolf Claw
IG_BlueBox,921,12	// Mushroom Spore
IG_BlueBox,922,12	// Orc's Fang
IG_BlueBox,923,12	// Evil Horn
IG_BlueBox,924,12	// Powder of Butterfly
IG_BlueBox,925,12	// Bill of Birds
IG_BlueBox,926,12	// Snake Scale
IG_BlueBox,928,12	// Insect Feeler
IG_BlueBox,929,12	// Immortal Heart
IG_BlueBox,930,12	// Rotten Bandage
IG_BlueBox,931,12	// Orcish Voucher
IG_BlueBox,932,12	// Skel-Bone
IG_BlueBox,934,12	// Memento
IG_BlueBox,935,12	// Shell
IG_BlueBox,936,12	// Scale Shell
IG_BlueBox,937,12	// Venom Canine
IG_BlueBox,938,12	// Sticky Mucus
IG_BlueBox,939,12	// Bee Sting
IG_BlueBox,940,12	// Grasshopper's Leg
IG_BlueBox,941,12	// Nose Ring
IG_BlueBox,942,12	// Yoyo Tail
IG_BlueBox,943,12	// Solid Shell
IG_BlueBox,944,12	// Horseshoe
IG_BlueBox,945,12	// Raccoon Leaf
IG_BlueBox,946,12	// Snail's Shell
IG_BlueBox,947,12	// Horn
IG_BlueBox,948,12	// Bear's Footskin
IG_BlueBox,949,12	// Feather
IG_BlueBox,950,12	// Heart of Mermaid
IG_BlueBox,951,12	// Fin
IG_BlueBox,952,12	// Cactus Needle
IG_BlueBox,953,12	// Stone Heart
IG_BlueBox,954,12	// Shining Scale
IG_BlueBox,955,12	// Worm Peeling
IG_BlueBox,956,12	// Gill
IG_BlueBox,957,12	// Decayed Nail
IG_BlueBox,958,12	// Horrendous Mouth
IG_BlueBox,959,12	// Stinky Scale
IG_BlueBox,960,12	// Nipper
IG_BlueBox,961,12	// Conch
IG_BlueBox,962,12	// Tentacle
IG_BlueBox,963,12	// Sharp Scale
IG_BlueBox,964,12	// Crab Shell
IG_BlueBox,965,12	// Clam Shell
IG_BlueBox,966,12	// Clam Flesh
IG_BlueBox,967,12	// Turtle Shell
IG_BlueBox,968,12	// Heroic Emblem
IG_BlueBox,969,12	// Gold
IG_BlueBox,971,12	// Detrimindexta
IG_BlueBox,972,12	// Karvodailnirol
IG_BlueBox,973,12	// Counteragent
IG_BlueBox,974,12	// Mixture
IG_BlueBox,975,12	// Scarlet Dyestuff
IG_BlueBox,976,12	// Lemon Dyestuff
IG_BlueBox,978,12	// Cobaltblue Dyestuff
IG_BlueBox,979,12	// Darkgreen Dyestuff
IG_BlueBox,980,12	// Orange Dyestuff
IG_BlueBox,981,12	// Violet Dyestuff
IG_BlueBox,982,12	// White Dyestuff
IG_BlueBox,983,12	// Black Dyestuff
IG_BlueBox,986,12	// Anvil
IG_BlueBox,987,12	// Oridecon Anvil
IG_BlueBox,988,12	// Golden Anvil
IG_BlueBox,989,12	// Emperium Anvil
IG_BlueBox,990,12	// Red Blood
IG_BlueBox,991,12	// Crystal Blue
IG_BlueBox,992,12	// Wind of Verdure
IG_BlueBox,993,12	// Green Live
IG_BlueBox,994,12	// Flame Heart
IG_BlueBox,995,12	// Mystic Frozen
IG_BlueBox,996,12	// Rough Wind
IG_BlueBox,997,12	// Great Nature
IG_BlueBox,998,12	// Iron
IG_BlueBox,999,12	// Steel
IG_BlueBox,1000,12	// Star Crumb
IG_BlueBox,1001,12	// Star Dust
IG_BlueBox,1002,12	// Iron Ore
IG_BlueBox,1003,12	// Coal
IG_BlueBox,1004,12	// Chivalry Emblem
IG_BlueBox,1005,12	// Hammer of Blacksmith
IG_BlueBox,1006,12	// Old Magicbook
IG_BlueBox,1007,12	// Necklace of Wisdom
IG_BlueBox,1008,12	// Necklace of Oblivion
IG_BlueBox,1009,12	// Hand of God
IG_BlueBox,1010,12	// Phracon
IG_BlueBox,1011,12	// Emveretarcon
IG_BlueBox,1012,12	// Frill
IG_BlueBox,1013,12	// Rainbow Shell
IG_BlueBox,1014,12	// Ant Jaw
IG_BlueBox,1015,12	// Tongue
IG_BlueBox,1016,12	// Rat Tail
IG_BlueBox,1017,12	// Mole Whiskers
IG_BlueBox,1018,12	// Mole Claw
IG_BlueBox,1019,12	// Trunk
IG_BlueBox,1020,12	// Black Hair
IG_BlueBox,1021,12	// Dokebi Horn
IG_BlueBox,1022,12	// Nine Tails
IG_BlueBox,1023,12	// Fish Tail
IG_BlueBox,1024,12	// Squid Ink
IG_BlueBox,1025,12	// Cobweb
IG_BlueBox,1026,12	// Acorn
IG_BlueBox,1027,12	// Porcupine Quill
IG_BlueBox,1028,12	// Mane
IG_BlueBox,1029,12	// Tiger Skin
IG_BlueBox,1031,12	// Mantis Scythe
IG_BlueBox,1032,12	// Maneater Blossom
IG_BlueBox,1033,12	// Maneater Root
IG_BlueBox,1034,12	// Blue Hair
IG_BlueBox,1035,12	// Dragon Canine
IG_BlueBox,1036,12	// Dragon Scale
IG_BlueBox,1037,12	// Dragon Tail
IG_BlueBox,1038,12	// Little Evil Horn
IG_BlueBox,1039,12	// Little Evil Wing
IG_BlueBox,1040,12	// Elder Pixie's Moustache
IG_BlueBox,1041,12	// Lantern
IG_BlueBox,1042,12	// Bug Leg
IG_BlueBox,1043,12	// Orc Claw
IG_BlueBox,1044,12	// Zenorc's Fang
IG_BlueBox,1045,12	// Cultish Masque
IG_BlueBox,1046,12	// Scorpion Nipper
IG_BlueBox,1047,12	// Dead Medusa
IG_BlueBox,1048,12	// Horrendous Hair
IG_BlueBox,1049,12	// Skirt of Virgin
IG_BlueBox,1050,12	// Tendon
IG_BlueBox,1051,12	// Detonator
IG_BlueBox,1052,12	// Single Cell
IG_BlueBox,1053,12	// Ancient Tooth
IG_BlueBox,1054,12	// Ancient Lips
IG_BlueBox,1055,12	// Earthworm Peeling
IG_BlueBox,1056,12	// Grit
IG_BlueBox,1057,12	// Moth Dust
IG_BlueBox,1058,12	// Moth Wings
IG_BlueBox,1059,12	// Fabric
IG_BlueBox,1060,12	// Golden Hair
IG_BlueBox,1061,12	// Witched Starsand
IG_BlueBox,1062,12	// Jack o' Pumpkin
IG_BlueBox,1063,12	// Fang
IG_BlueBox,1064,12	// Reins
IG_BlueBox,1065,12	// Trap
IG_BlueBox,1066,12	// Fine-grained Trunk
IG_BlueBox,1067,12	// Solid Trunk
IG_BlueBox,1068,12	// Barren Trunk
IG_BlueBox,1088,12	// Morocc Solution
IG_BlueBox,1089,12	// Payon Solution
IG_BlueBox,1092,12	// Empty Test Tube
IG_BlueBox,1093,12	// Empty Potion Bottle
IG_BlueBox,1094,12	// Short Daenggie
IG_BlueBox,1095,12	// Clock Hand
IG_BlueBox,1096,12	// Round Shell
IG_BlueBox,1097,12	// Worn Out Page
IG_BlueBox,1098,12	// Manacles
IG_BlueBox,1099,12	// Worn-out Prison Uniform
IG_BlueBox,1101,6	// Sword
IG_BlueBox,1102,6	// Sword
IG_BlueBox,1104,6	// Falchion
IG_BlueBox,1105,6	// Falchion
IG_BlueBox,1107,6	// Blade
IG_BlueBox,1108,6	// Blade
IG_BlueBox,1110,6	// Rapier
IG_BlueBox,1111,6	// Rapier
IG_BlueBox,1113,6	// Scimitar
IG_BlueBox,1114,6	// Scimitar
IG_BlueBox,1116,3	// Katana
IG_BlueBox,1117,3	// Katana
IG_BlueBox,1119,6	// Tsurugi
IG_BlueBox,1120,6	// Tsurugi
IG_BlueBox,1122,6	// Ring Pommel Saber
IG_BlueBox,1123,6	// Haedonggum
IG_BlueBox,1124,6	// Orcish sword
IG_BlueBox,1125,6	// Ring Pommel Saber
IG_BlueBox,1126,6	// Saber
IG_BlueBox,1127,6	// Saber
IG_BlueBox,1128,6	// Haedonggum
IG_BlueBox,1129,6	// Flamberge
IG_BlueBox,1146,1	// Town Sword
IG_BlueBox,1147,1	// Town Sword
IG_BlueBox,1148,1	// Star Dust Blade
IG_BlueBox,1151,3	// Slayer
IG_BlueBox,1152,3	// Slayer
IG_BlueBox,1154,3	// Bastard Sword
IG_BlueBox,1155,3	// Bastard Sword
IG_BlueBox,1157,3	// Two-Handed Sword
IG_BlueBox,1158,3	// Two-Handed Sword
IG_BlueBox,1160,3	// Broad Sword
IG_BlueBox,1162,3	// Broad Sword
IG_BlueBox,1163,3	// Claymore
IG_BlueBox,1201,3	// Knife
IG_BlueBox,1202,3	// Knife
IG_BlueBox,1204,3	// Cutter
IG_BlueBox,1205,3	// Cutter
IG_BlueBox,1207,3	// Main Gauche
IG_BlueBox,1208,3	// Main Gauche
IG_BlueBox,1210,3	// Dirk
IG_BlueBox,1211,3	// Dirk
IG_BlueBox,1213,3	// Dagger
IG_BlueBox,1214,3	// Dagger
IG_BlueBox,1216,3	// Stiletto
IG_BlueBox,1217,3	// Stiletto
IG_BlueBox,1219,3	// Gladius
IG_BlueBox,1220,3	// Gladius
IG_BlueBox,1222,3	// Damascus
IG_BlueBox,1226,3	// Damascus
IG_BlueBox,1243,3	// Novice Main Gauche
IG_BlueBox,1245,1	// Cinquedea
IG_BlueBox,1247,1	// Kindle Dagger
IG_BlueBox,1248,1	// Obsidian Dagger
IG_BlueBox,1249,1	// Fisherman's Dagger
IG_BlueBox,1250,3	// Jur
IG_BlueBox,1251,3	// Jur
IG_BlueBox,1252,3	// Katar
IG_BlueBox,1253,3	// Katar
IG_BlueBox,1254,3	// Jamadhar
IG_BlueBox,1255,3	// Jamadhar
IG_BlueBox,1256,3	// Katar of Frozen Icicle
IG_BlueBox,1257,3	// Katar of Quaking
IG_BlueBox,1258,3	// Katar of Raging Blaze
IG_BlueBox,1259,3	// Katar of Piercing Wind
IG_BlueBox,1262,1	// Loki's Nail
IG_BlueBox,1263,1	// Unholy Touch
IG_BlueBox,1264,2	// Specialty Jur
IG_BlueBox,1265,1	// Bloody Roar
IG_BlueBox,1269,1	// Inverse Scale
IG_BlueBox,1271,1	// Blood Tears
IG_BlueBox,1301,3	// Axe
IG_BlueBox,1302,3	// Axe
IG_BlueBox,1304,3	// Orcish Axe
IG_BlueBox,1307,1	// Windhawk
IG_BlueBox,1351,3	// Battle Axe
IG_BlueBox,1352,3	// Battle Axe
IG_BlueBox,1354,3	// Hammer
IG_BlueBox,1355,3	// Hammer
IG_BlueBox,1357,3	// Buster
IG_BlueBox,1358,3	// Buster
IG_BlueBox,1360,3	// Two-Handed Axe
IG_BlueBox,1361,3	// Two-Handed Axe
IG_BlueBox,1370,1	// Doom Slayer
IG_BlueBox,1376,1	// Heart Breaker
IG_BlueBox,1377,1	// Hurricane Fury
IG_BlueBox,1401,9	// Javelin
IG_BlueBox,1402,9	// Javelin
IG_BlueBox,1404,9	// Spear
IG_BlueBox,1405,9	// Spear
IG_BlueBox,1407,9	// Pike
IG_BlueBox,1408,9	// Pike
IG_BlueBox,1410,3	// Lance
IG_BlueBox,1411,3	// Lance
IG_BlueBox,1451,3	// Guisarme
IG_BlueBox,1452,3	// Guisarme
IG_BlueBox,1454,3	// Glaive
IG_BlueBox,1455,3	// Glaive
IG_BlueBox,1457,3	// Partizan
IG_BlueBox,1458,3	// Partizan
IG_BlueBox,1460,3	// Trident
IG_BlueBox,1461,3	// Trident
IG_BlueBox,1463,3	// Halberd
IG_BlueBox,1464,3	// Halberd
IG_BlueBox,1472,3	// Soul Staff
IG_BlueBox,1474,1	// Gae Bolg
IG_BlueBox,1478,1	// Ahlspiess
IG_BlueBox,1501,6	// Club
IG_BlueBox,1502,6	// Club
IG_BlueBox,1504,6	// Mace
IG_BlueBox,1505,6	// Mace
IG_BlueBox,1507,6	// Smasher
IG_BlueBox,1508,6	// Smasher
IG_BlueBox,1510,6	// Flail
IG_BlueBox,1511,6	// Flail
IG_BlueBox,1513,6	// Morning Star
IG_BlueBox,1514,6	// Morning Star
IG_BlueBox,1516,6	// Sword Mace
IG_BlueBox,1517,6	// Sword Mace
IG_BlueBox,1519,6	// Chain
IG_BlueBox,1520,6	// Chain
IG_BlueBox,1522,6	// Stunner
IG_BlueBox,1550,3	// Book
IG_BlueBox,1551,3	// Bible
IG_BlueBox,1552,3	// Tablet
IG_BlueBox,1553,3	// Book of Billows
IG_BlueBox,1554,3	// Book of Mother Earth
IG_BlueBox,1555,3	// Book of the Blazing Sun
IG_BlueBox,1556,3	// Book of Gust of Wind
IG_BlueBox,1558,3	// Girl's Diary
IG_BlueBox,1559,1	// Legacy of Dragon
IG_BlueBox,1560,1	// Sage's Diary
IG_BlueBox,1561,1	// Hardcover Book
IG_BlueBox,1601,3	// Rod
IG_BlueBox,1602,3	// Rod
IG_BlueBox,1604,3	// Wand
IG_BlueBox,1605,3	// Wand
IG_BlueBox,1607,3	// Staff
IG_BlueBox,1608,3	// Staff
IG_BlueBox,1610,3	// Arc Wand
IG_BlueBox,1611,3	// Arc Wand
IG_BlueBox,1613,3	// Mighty Staff
IG_BlueBox,1614,3	// Wand of Occult
IG_BlueBox,1615,3	// Evil Bone Wand
IG_BlueBox,1616,1	// Wing Staff
IG_BlueBox,1617,1	// Survivor's Rod
IG_BlueBox,1618,1	// Survivor's Rod
IG_BlueBox,1619,1	// Survivor's Rod
IG_BlueBox,1620,1	// Survivor's Rod
IG_BlueBox,1621,1	// Hypnotist's Staff
IG_BlueBox,1622,1	// Hypnotist's Staff
IG_BlueBox,1701,3	// Bow
IG_BlueBox,1702,3	// Bow
IG_BlueBox,1704,3	// Composite Bow
IG_BlueBox,1705,3	// Composite Bow
IG_BlueBox,1707,3	// Great Bow
IG_BlueBox,1708,3	// Great Bow
IG_BlueBox,1710,3	// Crossbow
IG_BlueBox,1711,3	// Crossbow
IG_BlueBox,1713,3	// Arbalest
IG_BlueBox,1714,3	// Gakkung Bow
IG_BlueBox,1715,3	// Arbalest
IG_BlueBox,1716,3	// Gakkung Bow
IG_BlueBox,1718,3	// Hunter Bow
IG_BlueBox,1723,1	// Luna Bow
IG_BlueBox,1724,1	// Dragon Wing
IG_BlueBox,1730,1	// Burning Bow
IG_BlueBox,1731,1	// Frozen Bow
IG_BlueBox,1732,1	// Earth Bow
IG_BlueBox,1733,1	// Gust Bow
IG_BlueBox,1750,12	// Arrow
IG_BlueBox,1751,12	// Silver Arrow
IG_BlueBox,1752,12	// Fire Arrow
IG_BlueBox,1753,12	// Steel Arrow
IG_BlueBox,1754,12	// Crystal Arrow
IG_BlueBox,1755,12	// Arrow of Wind
IG_BlueBox,1756,12	// Stone Arrow
IG_BlueBox,1757,12	// Immaterial Arrow
IG_BlueBox,1758,12	// Stun Arrow
IG_BlueBox,1759,12	// Frozen Arrow
IG_BlueBox,1760,12	// Flash Arrow
IG_BlueBox,1761,12	// Cursed Arrow
IG_BlueBox,1762,12	// Rusty Arrow
IG_BlueBox,1763,12	// Poison Arrow
IG_BlueBox,1764,12	// Sharp Arrow
IG_BlueBox,1765,12	// Oridecon Arrow
IG_BlueBox,1767,12	// Shadow Arrow
IG_BlueBox,1768,12	// Sleep Arrow
IG_BlueBox,1769,12	// Mute Arrow
IG_BlueBox,1770,12	// Iron Arrow
IG_BlueBox,1801,3	// Waghnak
IG_BlueBox,1802,3	// Waghnak
IG_BlueBox,1803,3	// Knuckle Duster
IG_BlueBox,1804,3	// Knuckle Duster
IG_BlueBox,1805,3	// Studded Knuckles
IG_BlueBox,1806,3	// Studded Knuckles
IG_BlueBox,1807,3	// Fist
IG_BlueBox,1808,3	// Fist
IG_BlueBox,1809,3	// Claw
IG_BlueBox,1810,3	// Claw
IG_BlueBox,1811,3	// Finger
IG_BlueBox,1812,3	// Finger
IG_BlueBox,1815,1	// Hatii Claw
IG_BlueBox,1818,1	// Magma Fist
IG_BlueBox,1819,1	// Icicle Fist
IG_BlueBox,1820,1	// Electric Fist
IG_BlueBox,1821,1	// Seismic Fist
IG_BlueBox,1822,1	// Combo Battle Glove
IG_BlueBox,1901,3	// Violin
IG_BlueBox,1902,3	// Violin
IG_BlueBox,1903,3	// Mandolin
IG_BlueBox,1904,3	// Mandolin
IG_BlueBox,1905,3	// Lute
IG_BlueBox,1906,3	// Lute
IG_BlueBox,1907,3	// Guitar
IG_BlueBox,1908,3	// Guitar
IG_BlueBox,1909,3	// Harp
IG_BlueBox,1910,3	// Harp
IG_BlueBox,1911,3	// Gumoongoh
IG_BlueBox,1912,3	// Gumoongoh
IG_BlueBox,1914,1	// Burning Passion Guitar
IG_BlueBox,1915,1	// Loner's Guitar
IG_BlueBox,1916,1	// Green Acre Guitar
IG_BlueBox,1917,1	// Gentle Breeze Guitar
IG_BlueBox,1918,1	// Oriental Lute
IG_BlueBox,1919,1	// Base Guitar
IG_BlueBox,1950,3	// Rope
IG_BlueBox,1951,3	// Rope
IG_BlueBox,1952,3	// Whip
IG_BlueBox,1953,3	// Whip
IG_BlueBox,1954,3	// Wire Whip
IG_BlueBox,1955,3	// Wire Whip
IG_BlueBox,1956,3	// Rante Whip
IG_BlueBox,1957,3	// Rante Whip
IG_BlueBox,1958,3	// Tail Whip
IG_BlueBox,1959,3	// Tail Whip
IG_BlueBox,1960,3	// Whip
IG_BlueBox,1961,3	// Whip
IG_BlueBox,1965,1	// Red Flame Whip
IG_BlueBox,1966,1	// Icicle Whip
IG_BlueBox,1967,1	// Gaia Whip
IG_BlueBox,1968,1	// Skipping Rope
IG_BlueBox,1969,1	// Blade Whip
IG_BlueBox,1970,1	// Queen's Whip
IG_BlueBox,1971,1	// Electric Wire
IG_BlueBox,1972,1	// Electric Eel
IG_BlueBox,1973,1	// Sea Witch's Foot
IG_BlueBox,1974,1	// Carrot Whip
IG_BlueBox,2101,3	// Guard
IG_BlueBox,2102,3	// Guard
IG_BlueBox,2103,3	// Buckler
IG_BlueBox,2104,3	// Buckler
IG_BlueBox,2105,3	// Shield
IG_BlueBox,2106,3	// Shield
IG_BlueBox,2107,3	// Mirror Shield
IG_BlueBox,2108,3	// Mirror Shield
IG_BlueBox,2109,3	// Memory Book
IG_BlueBox,2112,3	// Novice Guard
IG_BlueBox,2113,1	// Novice Shield
IG_BlueBox,2123,1	// Orleans's Server
IG_BlueBox,2124,1	// Thorny Buckler
IG_BlueBox,2125,1	// Strong Shield
IG_BlueBox,2201,3	// Sunglasses
IG_BlueBox,2203,3	// Glasses
IG_BlueBox,2205,3	// Diver Goggles
IG_BlueBox,2206,3	// Wedding Veil
IG_BlueBox,2207,3	// Fancy Flower
IG_BlueBox,2208,3	// Ribbon
IG_BlueBox,2209,3	// Ribbon
IG_BlueBox,2210,3	// Hair Band
IG_BlueBox,2211,3	// Bandana
IG_BlueBox,2212,3	// Eye Patch
IG_BlueBox,2213,3	// Kitty Band
IG_BlueBox,2214,3	// Bunny Band
IG_BlueBox,2215,3	// Flower Band
IG_BlueBox,2216,3	// Biretta
IG_BlueBox,2217,3	// Biretta
IG_BlueBox,2218,3	// Flu Mask
IG_BlueBox,2220,3	// Hat
IG_BlueBox,2221,3	// Hat
IG_BlueBox,2222,3	// Turban
IG_BlueBox,2223,3	// Turban
IG_BlueBox,2224,3	// Goggles
IG_BlueBox,2225,3	// Goggles
IG_BlueBox,2226,3	// Cap
IG_BlueBox,2227,3	// Cap
IG_BlueBox,2228,3	// Helm
IG_BlueBox,2229,3	// Helm
IG_BlueBox,2230,3	// Gemmed Sallet
IG_BlueBox,2231,3	// Gemmed Sallet
IG_BlueBox,2232,3	// Circlet
IG_BlueBox,2233,3	// Circlet
IG_BlueBox,2236,3	// Santa Hat
IG_BlueBox,2239,3	// Monocle
IG_BlueBox,2241,3	// Grandpa Beard
IG_BlueBox,2242,3	// Purple Glasses
IG_BlueBox,2243,3	// Geek Glasses
IG_BlueBox,2244,3	// Big Ribbon
IG_BlueBox,2245,3	// Sweet Gent
IG_BlueBox,2246,3	// Golden Gear
IG_BlueBox,2247,3	// Romantic Gent
IG_BlueBox,2248,3	// Western Grace
IG_BlueBox,2249,1	// Coronet
IG_BlueBox,2250,3	// Cute Ribbon
IG_BlueBox,2251,3	// Monk Hat
IG_BlueBox,2252,3	// Wizard Hat
IG_BlueBox,2253,3	// Sunflower
IG_BlueBox,2254,1	// Angel Wing
IG_BlueBox,2255,1	// Evil Wing
IG_BlueBox,2257,3	// Unicorn Horn
IG_BlueBox,2258,1	// Spiky Band
IG_BlueBox,2259,3	// Mini Propeller
IG_BlueBox,2260,3	// Mini Glasses
IG_BlueBox,2261,3	// Army Cap
IG_BlueBox,2262,3	// Clown Nose
IG_BlueBox,2263,3	// Zorro Masque
IG_BlueBox,2265,3	// Gangster Mask
IG_BlueBox,2266,3	// Iron Cain
