//===== Athena Script ========================================
//= Yuno Field Warp Script
//===== By: ==================================================
//= Nana (1.0), Sara
//===== Current Version: =====================================
//= 1.2
//===== Compatible With: =====================================
//= Any Athena Version; RO Episode 5+
//===== Description: =========================================
//= Warp Points for Yuno Field
//===== Additional Comments: =================================
//= 1.1 - Updated for the new Yuno Fields
//= 1.2 New field update - Hugel Field by Sara - Version 1
//============================================================

//= Yuno Field ===============================================
//yuno_fild01.gat,286,368,0	warp	yunfild01	1,1,yuno_fild02.gat,294,26
//yuno_fild02.gat,294,24,0	warp	yunfild01-1	1,1,yuno_fild01.gat,286,366
//yuno_fild01.gat,70,378,0	warp	yunfild02	1,1,yuno_fild02.gat,70,25
//yuno_fild02.gat,70,23,0	warp	yunfild02-1	1,1,yuno_fild01.gat,70,376

yuno_fild12.gat,193,371,0	warp	newjun05	1,1,yuno_fild08.gat,143,21
yuno_fild08.gat,145,21,0	warp	newjun05a	1,1,yuno_fild12.gat,195,371
yuno_fild01.gat,70,378,0	warp	newjun06	1,1,yuno_fild09.gat,70,19
yuno_fild09.gat,70,17,0	warp	newjun06a	1,1,yuno_fild01.gat,70,376
yuno_fild01.gat,286,368,0	warp	newjun07	1,1,yuno_fild09.gat,280,30
yuno_fild09.gat,280,28,0	warp	newjun07a	1,1,yuno_fild01.gat,286,366
yuno_fild09.gat,19,194,0	warp	newjun08	1,1,yuno_fild08.gat,374,193
yuno_fild08.gat,376,193,0	warp	newjun08a	1,1,yuno_fild09.gat,21,194
yuno_fild08.gat,20,278,0	warp	newjun09	1,1,yuno_fild07.gat,352,291
yuno_fild07.gat,354,291,0	warp	newjun09a	1,1,yuno_fild08.gat,22,278
yuno_fild08.gat,31,58,0	warp	newjun10	1,1,yuno_fild07.gat,358,72
yuno_fild07.gat,360,72,0	warp	newjun10a	1,1,yuno_fild08.gat,33,58

//= (By speculation only) ====================================
yuno_fild07.gat,179,354,0	warp	newjun11	1,1,yuno_fild03.gat,179,17
yuno_fild03.gat,179,15,0	warp	newjun11a	1,1,yuno_fild07.gat,179,352
yuno_fild08.gat,74,376,0	warp	newjun12	1,1,yuno_fild02.gat,70,25
yuno_fild02.gat,70,23,0	warp	newjun12a	1,1,yuno_fild08.gat,74,374
yuno_fild08.gat,286,386,0	warp	newjun13	1,1,yuno_fild02.gat,294,26
yuno_fild02.gat,294,24,0	warp	newjun13a	1,1,yuno_fild08.gat,286,384
yuno_fild04.gat,42,369,0	warp	newjun14	1,1,yuno_fild05.gat,59,30
yuno_fild05.gat,59,28,0	warp	newjun14a	1,1,yuno_fild04.gat,42,367


//= Al de Baran <-> Yuno Connection ==========================
aldebaran.gat,140,244,0	warp	alde-yunfild	1,1,yuno_fild01.gat,208,19
yuno_fild01.gat,208,17,0	warp	yunfild-alde	1,1,aldebaran.gat,140,242

//= Hugel Field
//= Version 1
yuno_fild05.gat,372,325,0	warp	hu001	1,1,yuno_fild06.gat,42,319
yuno_fild06.gat,40,319,0	warp	hu001a	1,1,yuno_fild05.gat,370,325
yuno_fild06.gat,217,27,0	warp	hu002	1,1,yuno_fild03.gat,214,381
yuno_fild03.gat,214,383,0	warp	hu002a	1,1,yuno_fild06.gat,217,29
yuno_fild06.gat,369,136,0	warp	hu003	1,1,hu_fild04.gat,28,126
hu_fild04.gat,26,126,0	warp	hu003a	1,1,yuno_fild06.gat,367,136
hu_fild04.gat,121,26,0	warp	hu004	1,1,yuno_fild02.gat,118,374
yuno_fild02.gat,118,376,0	warp	hu004a	1,1,hu_fild04.gat,121,28
yuno_fild06.gat,149,369,0	warp	hu005	1,1,hu_fild01.gat,139,37
hu_fild01.gat,139,35,0	warp	hu005a	1,1,yuno_fild06.gat,151,369
hu_fild04.gat,381,187,0	warp	hu006	1,1,hu_fild05.gat,34,202
hu_fild05.gat,32,202,0	warp	hu006a	1,1,hu_fild04.gat,379,187
hu_fild05.gat,91,42,0	warp	hu007	1,1,hu_fild07.gat,80,369
hu_fild07.gat,80,371,0	warp	hu007a	1,1,hu_fild05.gat,91,44
hu_fild07.gat,35,351,0	warp	hu008	1,1,yuno_fild02.gat,384,338
yuno_fild02.gat,384,340,0	warp	hu008a	1,1,hu_fild07.gat,37,351
hu_fild07.gat,56,36,0	warp	hu009	1,1,yuno_fild09.gat,47,375
yuno_fild09.gat,47,377,0	warp	hu009a	1,1,hu_fild07.gat,56,38
hu_fild07.gat,226,36,0	warp	hu010	1,1,yuno_fild09.gat,220,372
yuno_fild09.gat,220,374,0	warp	hu010a	1,1,hu_fild07.gat,226,38
