sprite_prefix	sex	body2	palette_indices
로그	M	0	0,1,2,3
로그	M	1	0,1,2,3
로드나이트	F	0	0,1,2,3
로드나이트	F	1	0,1,2,3
로드나이트	M	0	0,1,2,3
로드나이트	M	1	0,1,2,3
로드페코	F	0	0,1,2,3
로드페코	M	0	0,1,2,3
로보	F	0	0,1,2,3
로보	M	0	0,1,2,3
로얄가드	F	0	0,1,2,3,4,5,6,7
로얄가드	F	1	0,1,2,3,4,5,6,7
로얄가드	M	0	0,1,2,3,4,5,6,7
로얄가드	M	1	0,1,2,3,4,5,6,7
룬나이트	F	0	0,1,2,3,4,5,6,7
룬나이트	F	1	0,1,2,3,4,5,6,7
룬나이트	M	0	0,1,2,3,4,5,6,7
룬나이트	M	1	0,1,2,3,4,5,6,7
룬나이트쁘띠	F	0	4,5,6,7
룬나이트쁘띠	M	0	4,5,6,7
룬드래곤	F	0	0,1,2,3,4,5,6,7
룬드래곤	F	1	0,1,2,3,4,5,6,7
룬드래곤	M	0	0,1,2,3,4,5,6,7
룬드래곤	M	1	0,1,2,3,4,5,6,7
리벨리온	F	0	0,1,2,3,4,5,6,7
리벨리온	F	1	0,1,2,3
리벨리온	M	0	0,1,2,3,4,5,6,7
리벨리온	M	1	0,1,2,3
마법사	F	0	0,1,2,3,4
마법사	F	1	0,1,2,3,4
마법사	M	0	0,1,2,3,4
마법사	M	1	0,1,2,3,4
몽크	F	0	0,1,2,3
몽크	F	1	0,1,2,3
몽크	M	0	0,1,2,3
몽크	M	1	0,1,2,3
몽크알파카	F	0	0,1,2,3
몽크알파카	M	0	0,1,2,3
묘족	F	0	0,1,2,3,4,5,6,7
묘족	M	0	0,1,2,3,4,5,6,7
무희	F	0	0,1,2,3,4
무희	F	1	0,1,2,3,4
무희바지	F	0	0,1,2,3
미케닉	F	0	0,1,2,3,4,5,6,7
미케닉	F	1	0,1,2,3,4,5,6,7
미케닉	M	0	0,1,2,3,4,5,6,7
미케닉	M	1	0,1,2,3,4,5,6,7
미케닉_마도기어	F	0	0,1,2,3,4,5,6,7
미케닉_마도기어	F	1	0,1,2,3,4,5,6,7
미케닉_마도기어	M	0	0,1,2,3,4,5,6,7
미케닉_마도기어	M	1	0,1,2,3,4,5,6,7
미케닉_마도아머	F	0	0,1,2,3,4,5,6,7
미케닉_마도아머	F	1	0,1,2,3,4,5,6,7
미케닉_마도아머	F	2	0,1,2,3
미케닉_마도아머	F	3	0,1,2,3
미케닉_마도아머	F	4	0,1,2,3
미케닉_마도아머	M	0	0,1,2,3,4,5,6,7
미케닉_마도아머	M	1	0,1,2,3,4,5,6,7
미케닉_마도아머	M	2	0,1,2,3
미케닉_마도아머	M	3	0,1,2,3
미케닉_마도아머	M	4	0,1,2,3
미케닉멧돼지	F	0	0,1,2,3,4,5,6,7
미케닉멧돼지	F	1	0,1,2,3,4,5,6,7
미케닉멧돼지	M	0	0,1,2,3,4,5,6,7
미케닉멧돼지	M	1	0,1,2,3,4,5,6,7
민스트럴	M	0	0,1,2,3,4,5,6,7
민스트럴	M	1	0,1,2,3,4,5,6,7
바드	M	0	0,1,2,3,4
바드	M	1	0,1,2,3,4
복사알파카	F	0	0,1,2,3,4
복사알파카	M	0	0,1,2,3,4
사자기사	F	0	0,1,2,3,4
사자기사	M	0	0,1,2,3,4
사자로드나이트	F	0	0,1,2,3
사자로드나이트	M	0	0,1,2,3
사자로얄가드	F	0	0,1,2,3,4,5,6,7
사자로얄가드	F	1	0,1,2,3,4,5,6,7
사자로얄가드	M	0	0,1,2,3,4,5,6,7
사자로얄가드	M	1	0,1,2,3,4,5,6,7
사자룬나이트	F	0	0,1,2,3,4,5,6,7
사자룬나이트	F	1	0,1,2,3,4,5,6,7
사자룬나이트	M	0	0,1,2,3,4,5,6,7
사자룬나이트	M	1	0,1,2,3,4,5,6,7
사자크루세이더	F	0	0,1,2,3
사자크루세이더	M	0	0,1,2,3
사자팔라딘	F	0	0,1,2,3
사자팔라딘	M	0	0,1,2,3
상인	F	0	0,1,2,3,4
상인	F	1	0,1,2,3,4
상인	M	0	0,1,2,3,4
상인	M	1	0,1,2,3,4
상인멧돼지	F	0	0,1,2,3,4
상인멧돼지	M	0	0,1,2,3,4
성제	F	0	0,1,2,3,4,5,6,7
성제	M	0	0,1,2,3,4,5,6,7
성제융합	F	0	0,1,2,3,4,5,6,7
성제융합	M	0	0,1,2,3,4,5,6,7
성직자	F	0	0,1,2,3,4
성직자	F	1	0,1,2,3,4
성직자	M	0	0,1,2,3,4
성직자	M	1	0,1,2,3,4
성투사	F	0	0,1
성투사	F	1	0,1
성투사	M	0	0,1
성투사	M	1	0,1
성투사2	F	0	0,1
성투사2	F	1	0,1
성투사2	M	0	0,1
성투사2	M	1	0,1
세이지	F	0	0,1,2,3
세이지	F	1	0,1,2,3
세이지	M	0	0,1,2,3
세이지	M	1	0,1,2,3
소서러	F	0	0,1,2,3,4,5,6,7
소서러	F	1	0,1,2,3,4,5,6,7
소서러	M	0	0,1,2,3,4,5,6,7
소서러	M	1	0,1,2,3,4,5,6,7
소울리퍼	F	0	0,1,2,3,4,5,6,7
소울리퍼	M	0	0,1,2,3,4,5,6,7
소울링커	F	0	0,1,2,3,4,5,6,7
소울링커	F	1	0,1,2,3
소울링커	M	0	0,1,2,3,4,5,6,7
소울링커	M	1	0,1,2,3
쉐도우체이서	F	0	0,1,2,3,4,5,6,7
쉐도우체이서	F	1	0,1,2,3,4,5,6,7
쉐도우체이서	M	0	0,1,2,3,4,5,6,7
쉐도우체이서	M	1	0,1,2,3,4,5,6,7
슈라	F	0	0,1,2,3,4,5,6,7
슈라	F	1	0,1,2,3,4,5,6,7
슈라	M	0	0,1,2,3,4,5,6,7
슈라	M	1	0,1,2,3,4,5,6,7
슈라알파카	F	0	0,1,2,3,4,5,6,7
슈라알파카	F	1	0,1,2,3,4,5,6,7
슈라알파카	M	0	0,1,2,3,4,5,6,7
슈라알파카	M	1	0,1,2,3,4,5,6,7
슈퍼노비스	F	0	0,1,2,3,4,5,6,7
슈퍼노비스	F	1	0,1,2,3,4
슈퍼노비스	M	0	0,1,2,3,4,5,6,7
슈퍼노비스	M	1	0,1,2,3,4
슈퍼노비스포링	F	0	0,1,2,3,4,5,6,7
슈퍼노비스포링	M	0	0,1,2,3,4,5,6,7
스나이퍼	F	0	0,1,2,3
스나이퍼	F	1	0,1,2,3
스나이퍼	M	0	0,1,2,3
스나이퍼	M	1	0,1,2,3
스토커	F	0	0,1,2,3
스토커	F	1	0,1,2,3
스토커	M	0	0,1,2,3
스토커	M	1	0,1,2,3
신페코크루세이더	F	0	0,1,2,3
신페코크루세이더	M	0	0,1,2,3
아크비숍	F	0	0,1,2,3,4,5,6,7
아크비숍	F	1	0,1,2,3,4,5,6,7
아크비숍	M	0	0,1,2,3,4,5,6,7
아크비숍	M	1	0,1,2,3,4,5,6,7
아크비숍알파카	F	0	0,1,2,3,4,5,6,7
아크비숍알파카	F	1	0,1,2,3,4,5,6,7
아크비숍알파카	M	0	0,1,2,3,4,5,6,7
아크비숍알파카	M	1	0,1,2,3,4,5,6,7
어새신	M	0	0,1,2,3,4
어새신	M	1	0,1,2,3,4
어세신	F	0	0,1,2,3,4
어세신	F	1	0,1,2,3,4
어세신	M	0	0,1,2,3
어세신	M	1	0,1,2,3
어세신크로스	F	0	0,1,2,3
어세신크로스	F	1	0,1,2,3
어세신크로스	M	0	0,1,2,3
어세신크로스	M	1	0,1,2,3
여우마법사	F	0	0,1,2,3,4
여우마법사	M	0	0,1,2,3,4
여우세이지	F	0	0,1,2,3
여우세이지	M	0	0,1,2,3
여우소서러	F	0	0,1,2,3,4,5,6,7
여우소서러	F	1	0,1,2,3,4,5,6,7
여우소서러	M	0	0,1,2,3,4,5,6,7
여우소서러	M	1	0,1,2,3,4,5,6,7
여우워록	F	0	0,1,2,3,4,5,6,7
여우워록	F	1	0,1,2,3,4,5,6,7
여우워록	M	0	0,1,2,3,4,5,6,7
여우워록	M	1	0,1,2,3,4,5,6,7
여우위저드	F	0	0,1,2,3,4
여우위저드	M	0	0,1,2,3,4
여우프로페서	F	0	0,1,2,3
여우프로페서	M	0	0,1,2,3
여우하이위저드	F	0	0,1,2,3
여우하이위저드	M	0	0,1,2,3
연금술사	F	0	0,1,2,3,4
연금술사	F	1	0,1,2,3,4
연금술사	M	0	0,1,2,3,4
연금술사	M	1	0,1,2,3,4
연금술사멧돼지	F	0	0,1,2,3,4
연금술사멧돼지	M	0	0,1,2,3,4
울프레인저	F	0	0,1,2,3,4,5,6,7
울프레인저	F	1	0,1,2,3,4,5,6,7
울프레인저	M	0	0,1,2,3,4,5,6,7
울프레인저	M	1	0,1,2,3,4,5,6,7
워록	F	0	0,1,2,3,4,5,6,7
워록	F	1	0,1,2,3,4,5,6,7
워록	M	0	0,1,2,3,4,5,6,7
워록	M	1	0,1,2,3,4,5,6,7
원더러	F	0	0,1,2,3,4,5,6,7
원더러	F	1	0,1,2,3,4,5,6,7
위저드	F	0	0,1,2,3,4
위저드	F	1	0,1,2,3,4
위저드	M	0	0,1,2,3,4
위저드	M	1	0,1,2,3,4
제네릭	F	0	0,1,2,3,4,5,6,7
제네릭	F	1	0,1,2,3,4,5,6,7
제네릭	M	0	0,1,2,3,4,5,6,7
제네릭	M	1	0,1,2,3,4,5,6,7
제네릭멧돼지	F	0	0,1,2,3,4,5,6,7
제네릭멧돼지	F	1	0,1,2,3,4,5,6,7
제네릭멧돼지	M	0	0,1,2,3,4,5,6,7
제네릭멧돼지	M	1	0,1,2,3,4,5,6,7
제철공	F	0	0,1,2,3,4
제철공	F	1	0,1,2,3,4
제철공	M	0	0,1,2,3,4
제철공	M	1	0,1,2,3,4
제철공멧돼지	F	0	0,1,2,3,4
제철공멧돼지	M	0	0,1,2,3,4
집시	F	0	0,1,2,3
집시	F	1	0,1,2,3
챔피온	F	0	0,1,2,3
챔피온	F	1	0,1,2,3
챔피온	M	0	0,1,2,3
챔피온	M	1	0,1,2,3
챔피온알파카	F	0	0,1,2,3
챔피온알파카	M	0	0,1,2,3
초보자	F	0	0,1,2,3,4,5,6,7,8
초보자	F	1	0,1,2,3,4
초보자	M	0	0,1,2,3,4,5,6,7,8
초보자	M	1	0,1,2,3,4
켈베로스길로틴크로스	F	0	0,1,2,3,4,5,6,7
켈베로스길로틴크로스	F	1	0,1,2,3,4,5,6,7
켈베로스길로틴크로스	M	0	0,1,2,3,4,5,6,7
켈베로스길로틴크로스	M	1	0,1,2,3,4,5,6,7
켈베로스도둑	F	0	0,1,2,3,4
켈베로스도둑	M	0	0,1,2,3,4
켈베로스로그	F	0	0,1,2,3
켈베로스로그	M	0	0,1,2,3
켈베로스쉐도우체이서	F	0	0,1,2,3,4,5,6,7
켈베로스쉐도우체이서	F	1	0,1,2,3,4,5,6,7
켈베로스쉐도우체이서	M	0	0,1,2,3,4,5,6,7
켈베로스쉐도우체이서	M	1	0,1,2,3,4,5,6,7
켈베로스스토커	F	0	0,1,2,3
켈베로스스토커	M	0	0,1,2,3
켈베로스어쎄신	F	0	0,1,2,3,4
켈베로스어쎄신	M	0	0,1,2,3
켈베로스어쎄신크로스	F	0	0,1,2,3
켈베로스어쎄신크로스	M	0	0,1,2,3
크라운	M	0	0,1,2,3
크라운	M	1	0,1,2,3
크루	F	0	0,1,2,3
크루	F	1	0,1,2,3
크루	M	0	0,1,2,3
크루	M	1	0,1,2,3
크리에이터	F	0	0,1,2,3
크리에이터	F	1	0,1,2,3
크리에이터	M	0	0,1,2,3
크리에이터	M	1	0,1,2,3
크리에이터멧돼지	F	0	0,1,2,3
크리에이터멧돼지	M	0	0,1,2,3
타조궁수	F	0	0,1,2,3,4
타조궁수	M	0	0,1,2,3,4
타조레인져	F	0	0,1,2,3,4,5,6,7
타조레인져	F	1	0,1,2,3,4,5,6,7
타조레인져	M	0	0,1,2,3,4,5,6,7
타조레인져	M	1	0,1,2,3,4,5,6,7
타조무희	F	0	0,1,2,3,4
타조민스트럴	M	0	0,1,2,3,4,5,6,7
타조민스트럴	M	1	0,1,2,3,4,5,6,7
타조바드	M	0	0,1,2,3,4
타조스나이퍼	F	0	0,1,2,3
타조스나이퍼	M	0	0,1,2,3
타조원더러	F	0	0,1,2,3,4,5,6,7
타조원더러	F	1	0,1,2,3,4,5,6,7
타조짚시	F	0	0,1,2,3
타조크라운	M	0	0,1,2,3
타조헌터	F	0	0,1,2,3,4
타조헌터	M	0	0,1,2,3,4
태권소년	F	0	0,1,2,3,4,5,6,7
태권소년	F	1	0,1,2,3
태권소년	M	0	0,1,2,3,4,5,6,7
태권소년	M	1	0,1,2,3
태권소년포링	F	0	0,1,2,3,4,5,6,7
태권소년포링	M	0	0,1,2,3,4,5,6,7
팔라딘	F	0	0,1,2,3
팔라딘	F	1	0,1,2,3
팔라딘	M	0	0,1,2,3
팔라딘	M	1	0,1,2,3
페코건너	F	0	0,1,2,3,4,5,6,7
페코건너	M	0	0,1,2,3,4,5,6,7
페코검사	F	0	0,1,2,3
페코검사	M	0	0,1,2,3
페코로나	F	0	0,1,2,3
페코로나	F	1	0,1,2,3
페코로나	M	0	0,1,2,3
페코로나	M	1	0,1,2,3
페코팔라	F	0	0,1,2,3
페코팔라	F	1	0,1,2,3
페코팔라	M	0	0,1,2,3
페코팔라	M	1	0,1,2,3
페코팔라딘	F	0	0,1,2,3
페코팔라딘	M	0	0,1,2,3
페코페코_기사	F	0	0,1,2,3,4
페코페코_기사	F	1	0,1,2,3,4
페코페코_기사	M	0	0,1,2,3,4
페코페코_기사	M	1	0,1,2,3,4
페코페코_크루	F	0	0,1,2,3
페코페코_크루	F	1	0,1,2,3
페코페코_크루	M	0	0,1,2,3
페코페코_크루	M	1	0,1,2,3
프로페서	F	0	0,1,2,3
프로페서	F	1	0,1,2,3
프로페서	M	0	0,1,2,3
프로페서	M	1	0,1,2,3
프리스트	F	0	0,1,2,3,4
프리스트	F	1	0,1,2,3,4
프리스트	M	0	0,1,2,3,4
프리스트	M	1	0,1,2,3,4
프리스트알파카	F	0	0,1,2,3,4
프리스트알파카	M	0	0,1,2,3,4
하이위저드	F	0	0,1,2,3
하이위저드	F	1	0,1,2,3
하이위저드	M	0	0,1,2,3
하이위저드	M	1	0,1,2,3
하이프리스트	F	0	0,1,2,3
하이프리스트	F	1	0,1,2,3
하이프리스트	M	0	0,1,2,3
하이프리스트	M	1	0,1,2,3
하이프리스트알파카	F	0	0,1,2,3
하이프리스트알파카	M	0	0,1,2,3
해태성제	F	0	0,1,2,3,4,5,6,7
해태성제	M	0	0,1,2,3,4,5,6,7
해태소울리퍼	F	0	0,1,2,3,4,5,6,7
해태소울리퍼	M	0	0,1,2,3,4,5,6,7
헌터	F	0	0,1,2,3,4
헌터	F	1	0,1,2,3,4
헌터	M	0	0,1,2,3,4
헌터	M	1	0,1,2,3,4
화이트스미스	F	0	0,1,2,3
화이트스미스	F	1	0,1,2,3
화이트스미스	M	0	0,1,2,3
화이트스미스	M	1	0,1,2,3
화이트스미스멧돼지	F	0	0,1,2,3
화이트스미스멧돼지	M	0	0,1,2,3
