// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// Red Potion
IG_VioletBox,723,14	// Ruby
IG_VioletBox,724,14	// Cursed Ruby
IG_VioletBox,725,14	// Sardonyx
IG_VioletBox,726,14	// Sapphire
IG_VioletBox,727,14	// Opal
IG_VioletBox,728,14	// Topaz
IG_VioletBox,729,14	// Zircon
IG_VioletBox,730,14	// 1carat Diamond
IG_VioletBox,731,14	// 2carat Diamond
IG_VioletBox,732,14	// 3carat Diamond
IG_VioletBox,733,14	// Cracked Diamond
IG_VioletBox,734,14	// Red Frame
IG_VioletBox,735,14	// Chung Jah
IG_VioletBox,736,14	// China
IG_VioletBox,737,14	// Black Ladle
IG_VioletBox,738,14	// Pencil Case
IG_VioletBox,739,14	// Rouge
IG_VioletBox,740,14	// Puppet
IG_VioletBox,741,14	// Poring Doll
IG_VioletBox,742,14	// Chonchon Doll
IG_VioletBox,743,14	// Spore Doll
IG_VioletBox,744,14	// Bouquet
IG_VioletBox,745,14	// Wedding Bouquet
IG_VioletBox,746,14	// Glass Bead
IG_VioletBox,747,14	// Crystal Mirror
IG_VioletBox,748,14	// Witherless Rose
IG_VioletBox,749,14	// Frozen Rose
IG_VioletBox,750,14	// Baphomet Doll
IG_VioletBox,751,14	// Osiris Doll
IG_VioletBox,752,14	// Grasshopper Doll
IG_VioletBox,753,14	// Yoyo Doll
IG_VioletBox,754,14	// Raccoon Doll
IG_VioletBox,901,14	// Danggie
IG_VioletBox,902,14	// Tree Root
IG_VioletBox,903,14	// Reptile Tongue
IG_VioletBox,904,14	// Scorpion Tail
IG_VioletBox,905,14	// Stem
IG_VioletBox,906,14	// Pointed Scale
IG_VioletBox,907,14	// Resin
IG_VioletBox,908,14	// Spawn
IG_VioletBox,909,14	// Jellopy
IG_VioletBox,910,14	// Garlet
IG_VioletBox,911,14	// Scell
IG_VioletBox,912,14	// Zargon
IG_VioletBox,913,14	// Tooth of Bat
IG_VioletBox,914,14	// Fluff
IG_VioletBox,915,14	// Chrysalis
IG_VioletBox,916,14	// Feather of Birds
IG_VioletBox,917,14	// Talon
IG_VioletBox,918,14	// Sticky Webfoot
IG_VioletBox,919,14	// Animal Skin
IG_VioletBox,920,14	// Wolf Claw
IG_VioletBox,921,14	// Mushroom Spore
IG_VioletBox,922,14	// Orc's Fang
IG_VioletBox,923,14	// Evil Horn
IG_VioletBox,924,14	// Powder of Butterfly
IG_VioletBox,925,14	// Bill of Birds
IG_VioletBox,926,14	// Snake Scale
IG_VioletBox,928,14	// Insect Feeler
IG_VioletBox,929,14	// Immortal Heart
IG_VioletBox,930,14	// Rotten Bandage
IG_VioletBox,931,14	// Orcish Voucher
IG_VioletBox,932,14	// Skel-Bone
IG_VioletBox,934,14	// Memento
IG_VioletBox,935,14	// Shell
IG_VioletBox,936,14	// Scale Shell
IG_VioletBox,937,14	// Venom Canine
IG_VioletBox,938,14	// Sticky Mucus
IG_VioletBox,939,14	// Bee Sting
IG_VioletBox,940,14	// Grasshopper's Leg
IG_VioletBox,941,14	// Nose Ring
IG_VioletBox,942,14	// Yoyo Tail
IG_VioletBox,943,14	// Solid Shell
IG_VioletBox,944,14	// Horseshoe
IG_VioletBox,945,14	// Raccoon Leaf
IG_VioletBox,946,14	// Snail's Shell
IG_VioletBox,947,14	// Horn
IG_VioletBox,948,14	// Bear's Footskin
IG_VioletBox,949,14	// Feather
IG_VioletBox,950,14	// Heart of Mermaid
IG_VioletBox,951,14	// Fin
IG_VioletBox,952,14	// Cactus Needle
IG_VioletBox,953,14	// Stone Heart
IG_VioletBox,954,14	// Shining Scale
IG_VioletBox,955,14	// Worm Peeling
IG_VioletBox,956,14	// Gill
IG_VioletBox,957,14	// Decayed Nail
IG_VioletBox,958,14	// Horrendous Mouth
IG_VioletBox,959,14	// Stinky Scale
IG_VioletBox,960,14	// Nipper
IG_VioletBox,961,14	// Conch
IG_VioletBox,962,14	// Tentacle
IG_VioletBox,963,14	// Sharp Scale
IG_VioletBox,964,14	// Crab Shell
IG_VioletBox,965,14	// Clam Shell
IG_VioletBox,966,14	// Clam Flesh
IG_VioletBox,967,14	// Turtle Shell
IG_VioletBox,968,14	// Heroic Emblem
IG_VioletBox,969,14	// Gold
IG_VioletBox,971,14	// Detrimindexta
IG_VioletBox,972,14	// Karvodailnirol
IG_VioletBox,973,14	// Counteragent
IG_VioletBox,974,14	// Mixture
IG_VioletBox,975,14	// Scarlet Dyestuff
IG_VioletBox,976,14	// Lemon Dyestuff
IG_VioletBox,978,14	// Cobaltblue Dyestuff
IG_VioletBox,979,14	// Darkgreen Dyestuff
IG_VioletBox,980,14	// Orange Dyestuff
IG_VioletBox,981,14	// Violet Dyestuff
IG_VioletBox,982,14	// White Dyestuff
IG_VioletBox,983,14	// Black Dyestuff
IG_VioletBox,986,14	// Anvil
IG_VioletBox,987,14	// Oridecon Anvil
IG_VioletBox,988,14	// Golden Anvil
IG_VioletBox,989,14	// Emperium Anvil
IG_VioletBox,990,14	// Red Blood
IG_VioletBox,991,14	// Crystal Blue
IG_VioletBox,992,14	// Wind of Verdure
IG_VioletBox,993,14	// Green Live
IG_VioletBox,994,14	// Flame Heart
IG_VioletBox,995,14	// Mystic Frozen
IG_VioletBox,996,14	// Rough Wind
IG_VioletBox,997,14	// Great Nature
IG_VioletBox,998,14	// Iron
IG_VioletBox,999,14	// Steel
IG_VioletBox,1000,14	// Star Crumb
IG_VioletBox,1001,14	// Star Dust
IG_VioletBox,1002,14	// Iron Ore
IG_VioletBox,1003,14	// Coal
IG_VioletBox,1004,14	// Chivalry Emblem
IG_VioletBox,1005,14	// Hammer of Blacksmith
IG_VioletBox,1006,14	// Old Magicbook
IG_VioletBox,1007,14	// Necklace of Wisdom
IG_VioletBox,1008,14	// Necklace of Oblivion
IG_VioletBox,1009,14	// Hand of God
IG_VioletBox,1010,14	// Phracon
IG_VioletBox,1011,14	// Emveretarcon
IG_VioletBox,1012,14	// Frill
IG_VioletBox,1013,14	// Rainbow Shell
IG_VioletBox,1014,14	// Ant Jaw
IG_VioletBox,1015,14	// Tongue
IG_VioletBox,1016,14	// Rat Tail
IG_VioletBox,1017,14	// Mole Whiskers
IG_VioletBox,1018,14	// Mole Claw
IG_VioletBox,1019,14	// Trunk
IG_VioletBox,1020,14	// Black Hair
IG_VioletBox,1021,14	// Dokebi Horn
IG_VioletBox,1022,14	// Nine Tails
IG_VioletBox,1023,14	// Fish Tail
IG_VioletBox,1024,14	// Squid Ink
IG_VioletBox,1025,14	// Cobweb
IG_VioletBox,1026,14	// Acorn
IG_VioletBox,1027,14	// Porcupine Quill
IG_VioletBox,1028,14	// Mane
IG_VioletBox,1029,14	// Tiger Skin
IG_VioletBox,1031,14	// Mantis Scythe
IG_VioletBox,1032,14	// Maneater Blossom
IG_VioletBox,1033,14	// Maneater Root
IG_VioletBox,1034,14	// Blue Hair
IG_VioletBox,1035,14	// Dragon Canine
IG_VioletBox,1036,14	// Dragon Scale
IG_VioletBox,1037,14	// Dragon Tail
IG_VioletBox,1038,14	// Little Evil Horn
IG_VioletBox,1039,14	// Little Evil Wing
IG_VioletBox,1040,14	// Elder Pixie's Moustache
IG_VioletBox,1041,14	// Lantern
IG_VioletBox,1042,14	// Bug Leg
IG_VioletBox,1043,14	// Orc Claw
IG_VioletBox,1044,14	// Zenorc's Fang
IG_VioletBox,1045,14	// Cultish Masque
IG_VioletBox,1046,14	// Scorpion Nipper
IG_VioletBox,1047,14	// Dead Medusa
IG_VioletBox,1048,14	// Horrendous Hair
IG_VioletBox,1049,14	// Skirt of Virgin
IG_VioletBox,1050,14	// Tendon
IG_VioletBox,1051,14	// Detonator
IG_VioletBox,1052,14	// Single Cell
IG_VioletBox,1053,14	// Ancient Tooth
IG_VioletBox,1054,14	// Ancient Lips
IG_VioletBox,1055,14	// Earthworm Peeling
IG_VioletBox,1056,14	// Grit
IG_VioletBox,1057,14	// Moth Dust
IG_VioletBox,1058,14	// Moth Wings
IG_VioletBox,1059,14	// Fabric
IG_VioletBox,1060,14	// Golden Hair
IG_VioletBox,1061,14	// Witched Starsand
IG_VioletBox,1062,14	// Jack o' Pumpkin
IG_VioletBox,1063,14	// Fang
IG_VioletBox,1064,14	// Reins
IG_VioletBox,1065,14	// Trap
IG_VioletBox,1066,14	// Fine-grained Trunk
IG_VioletBox,1067,14	// Solid Trunk
IG_VioletBox,1068,14	// Barren Trunk
IG_VioletBox,1088,14	// Morocc Solution
IG_VioletBox,1089,14	// Payon Solution
IG_VioletBox,1092,14	// Empty Test Tube
IG_VioletBox,1093,14	// Empty Potion Bottle
IG_VioletBox,1094,14	// Short Daenggie
IG_VioletBox,1095,14	// Clock Hand
IG_VioletBox,1096,14	// Round Shell
IG_VioletBox,1097,14	// Worn Out Page
IG_VioletBox,1098,14	// Manacles
IG_VioletBox,1099,14	// Worn-out Prison Uniform
IG_VioletBox,1102,7	// Sword
IG_VioletBox,1105,7	// Falchion
IG_VioletBox,1108,7	// Blade
IG_VioletBox,1111,7	// Rapier
IG_VioletBox,1114,7	// Scimitar
IG_VioletBox,1117,7	// Katana
IG_VioletBox,1120,7	// Tsurugi
IG_VioletBox,1124,7	// Orcish sword
IG_VioletBox,1125,7	// Ring Pommel Saber
IG_VioletBox,1127,7	// Saber
IG_VioletBox,1128,7	// Haedonggum
IG_VioletBox,1129,7	// Flamberge
IG_VioletBox,1147,1	// Town Sword
IG_VioletBox,1148,1	// Star Dust Blade
IG_VioletBox,1152,7	// Slayer
IG_VioletBox,1155,7	// Bastard Sword
IG_VioletBox,1158,7	// Two-Handed Sword
IG_VioletBox,1162,7	// Broad Sword
IG_VioletBox,1163,7	// Claymore
IG_VioletBox,1202,7	// Knife
IG_VioletBox,1205,7	// Cutter
IG_VioletBox,1208,7	// Main Gauche
IG_VioletBox,1211,7	// Dirk
IG_VioletBox,1214,7	// Dagger
IG_VioletBox,1217,7	// Stiletto
IG_VioletBox,1220,7	// Gladius
IG_VioletBox,1226,7	// Damascus
IG_VioletBox,1243,7	// Novice Main Gauche
IG_VioletBox,1251,7	// Jur
IG_VioletBox,1253,7	// Katar
IG_VioletBox,1255,7	// Jamadhar
IG_VioletBox,1256,7	// Katar of Frozen Icicle
IG_VioletBox,1257,7	// Katar of Quaking
IG_VioletBox,1258,7	// Katar of Raging Blaze
IG_VioletBox,1259,7	// Katar of Piercing Wind
IG_VioletBox,1262,1	// Loki's Nail
IG_VioletBox,1263,1	// Unholy Touch
IG_VioletBox,1264,2	// Specialty Jur
IG_VioletBox,1265,1	// Bloody Roar
IG_VioletBox,1269,1	// Inverse Scale
IG_VioletBox,1271,1	// Blood Tears
IG_VioletBox,1302,7	// Axe
IG_VioletBox,1304,7	// Orcish Axe
IG_VioletBox,1307,1	// Windhawk
IG_VioletBox,1352,7	// Battle Axe
IG_VioletBox,1355,7	// Hammer
IG_VioletBox,1358,7	// Buster
IG_VioletBox,1361,7	// Two-Handed Axe
IG_VioletBox,1370,1	// Doom Slayer
IG_VioletBox,1376,1	// Heart Breaker
IG_VioletBox,1377,1	// Hurricane Fury
IG_VioletBox,1402,7	// Javelin
IG_VioletBox,1405,7	// Spear
IG_VioletBox,1408,7	// Pike
IG_VioletBox,1411,7	// Lance
IG_VioletBox,1452,7	// Guisarme
IG_VioletBox,1455,7	// Glaive
IG_VioletBox,1458,7	// Partizan
IG_VioletBox,1461,7	// Trident
IG_VioletBox,1464,7	// Halberd
IG_VioletBox,1472,7	// Soul Staff
IG_VioletBox,1474,1	// Gae Bolg
IG_VioletBox,1478,1	// Ahlspiess
IG_VioletBox,1502,7	// Club
IG_VioletBox,1505,7	// Mace
IG_VioletBox,1508,7	// Smasher
IG_VioletBox,1511,7	// Flail
IG_VioletBox,1514,7	// Morning Star
IG_VioletBox,1517,7	// Sword Mace
IG_VioletBox,1520,7	// Chain
IG_VioletBox,1522,7	// Stunner
IG_VioletBox,1550,7	// Book
IG_VioletBox,1551,7	// Bible
IG_VioletBox,1552,7	// Tablet
IG_VioletBox,1553,7	// Book of Billows
IG_VioletBox,1554,7	// Book of Mother Earth
IG_VioletBox,1555,7	// Book of the Blazing Sun
IG_VioletBox,1556,7	// Book of Gust of Wind
IG_VioletBox,1558,7	// Girl's Diary
IG_VioletBox,1559,1	// Legacy of Dragon
IG_VioletBox,1560,1	// Sage's Diary
IG_VioletBox,1561,1	// Hardcover Book
IG_VioletBox,1602,7	// Rod
IG_VioletBox,1605,7	// Wand
IG_VioletBox,1608,7	// Staff
IG_VioletBox,1611,7	// Arc Wand
IG_VioletBox,1613,7	// Mighty Staff
IG_VioletBox,1614,7	// Wand of Occult
IG_VioletBox,1615,7	// Evil Bone Wand
IG_VioletBox,1616,1	// Wing Staff
IG_VioletBox,1618,1	// Survivor's Rod
IG_VioletBox,1620,1	// Survivor's Rod
IG_VioletBox,1622,1	// Hypnotist's Staff
IG_VioletBox,1702,7	// Bow
IG_VioletBox,1705,7	// Composite Bow
IG_VioletBox,1708,7	// Great Bow
IG_VioletBox,1711,7	// Crossbow
IG_VioletBox,1715,7	// Arbalest
IG_VioletBox,1716,7	// Gakkung Bow
IG_VioletBox,1718,7	// Hunter Bow
IG_VioletBox,1723,1	// Luna Bow
IG_VioletBox,1724,1	// Dragon Wing
IG_VioletBox,1730,1	// Burning Bow
IG_VioletBox,1731,1	// Frozen Bow
IG_VioletBox,1732,1	// Earth Bow
IG_VioletBox,1733,1	// Gust Bow
IG_VioletBox,1750,14	// Arrow
IG_VioletBox,1751,14	// Silver Arrow
IG_VioletBox,1752,14	// Fire Arrow
IG_VioletBox,1753,14	// Steel Arrow
IG_VioletBox,1754,14	// Crystal Arrow
IG_VioletBox,1755,14	// Arrow of Wind
IG_VioletBox,1756,14	// Stone Arrow
IG_VioletBox,1757,14	// Immaterial Arrow
IG_VioletBox,1758,14	// Stun Arrow
IG_VioletBox,1759,14	// Frozen Arrow
IG_VioletBox,1760,14	// Flash Arrow
IG_VioletBox,1761,14	// Cursed Arrow
IG_VioletBox,1762,14	// Rusty Arrow
IG_VioletBox,1763,14	// Poison Arrow
IG_VioletBox,1764,14	// Sharp Arrow
IG_VioletBox,1765,14	// Oridecon Arrow
IG_VioletBox,1767,14	// Shadow Arrow
IG_VioletBox,1768,14	// Sleep Arrow
IG_VioletBox,1769,14	// Mute Arrow
IG_VioletBox,1770,14	// Iron Arrow
IG_VioletBox,1802,7	// Waghnak
IG_VioletBox,1804,7	// Knuckle Duster
IG_VioletBox,1806,7	// Studded Knuckles
IG_VioletBox,1808,7	// Fist
IG_VioletBox,1810,7	// Claw
IG_VioletBox,1812,7	// Finger
IG_VioletBox,1815,1	// Hatii Claw
IG_VioletBox,1818,1	// Magma Fist
IG_VioletBox,1819,1	// Icicle Fist
IG_VioletBox,1820,1	// Electric Fist
IG_VioletBox,1821,1	// Seismic Fist
IG_VioletBox,1822,1	// Combo Battle Glove
IG_VioletBox,1902,7	// Violin
IG_VioletBox,1904,7	// Mandolin
IG_VioletBox,1906,7	// Lute
IG_VioletBox,1908,7	// Guitar
IG_VioletBox,1910,7	// Harp
IG_VioletBox,1912,7	// Gumoongoh
IG_VioletBox,1914,1	// Burning Passion Guitar
IG_VioletBox,1915,1	// Loner's Guitar
IG_VioletBox,1916,1	// Green Acre Guitar
IG_VioletBox,1917,1	// Gentle Breeze Guitar
IG_VioletBox,1918,1	// Oriental Lute
IG_VioletBox,1919,1	// Base Guitar
IG_VioletBox,1951,7	// Rope
IG_VioletBox,1953,7	// Whip
IG_VioletBox,1955,7	// Wire Whip
IG_VioletBox,1957,7	// Rante Whip
IG_VioletBox,1959,7	// Tail Whip
IG_VioletBox,1961,7	// Whip
IG_VioletBox,1965,1	// Red Flame Whip
IG_VioletBox,1966,1	// Icicle Whip
IG_VioletBox,1967,1	// Gaia Whip
IG_VioletBox,1968,1	// Skipping Rope
IG_VioletBox,1969,1	// Blade Whip
IG_VioletBox,1970,1	// Queen's Whip
IG_VioletBox,1971,1	// Electric Wire
IG_VioletBox,1972,1	// Electric Eel
IG_VioletBox,1973,1	// Sea Witch's Foot
IG_VioletBox,1974,1	// Carrot Whip
IG_VioletBox,2102,7	// Guard
IG_VioletBox,2104,7	// Buckler
IG_VioletBox,2106,7	// Shield
IG_VioletBox,2108,7	// Mirror Shield
IG_VioletBox,2109,7	// Memory Book
IG_VioletBox,2112,7	// Novice Guard
IG_VioletBox,2201,7	// Sunglasses
IG_VioletBox,2203,7	// Glasses
IG_VioletBox,2205,7	// Diver Goggles
IG_VioletBox,2206,7	// Wedding Veil
IG_VioletBox,2207,7	// Fancy Flower
IG_VioletBox,2208,7	// Ribbon
IG_VioletBox,2209,7	// Ribbon
IG_VioletBox,2210,7	// Hair Band
IG_VioletBox,2211,7	// Bandana
IG_VioletBox,2212,7	// Eye Patch
IG_VioletBox,2213,7	// Kitty Band
IG_VioletBox,2214,7	// Bunny Band
IG_VioletBox,2215,7	// Flower Band
IG_VioletBox,2216,7	// Biretta
IG_VioletBox,2217,7	// Biretta
IG_VioletBox,2218,7	// Flu Mask
IG_VioletBox,2220,7	// Hat
IG_VioletBox,2221,7	// Hat
IG_VioletBox,2222,7	// Turban
IG_VioletBox,2223,7	// Turban
IG_VioletBox,2224,7	// Goggles
IG_VioletBox,2225,7	// Goggles
IG_VioletBox,2226,7	// Cap
IG_VioletBox,2227,7	// Cap
IG_VioletBox,2228,7	// Helm
IG_VioletBox,2229,7	// Helm
IG_VioletBox,2230,7	// Gemmed Sallet
IG_VioletBox,2231,7	// Gemmed Sallet
IG_VioletBox,2232,7	// Circlet
IG_VioletBox,2233,7	// Circlet
IG_VioletBox,2236,7	// Santa Hat
IG_VioletBox,2239,7	// Monocle
IG_VioletBox,2241,7	// Grandpa Beard
IG_VioletBox,2242,7	// Purple Glasses
IG_VioletBox,2243,7	// Geek Glasses
IG_VioletBox,2244,7	// Big Ribbon
IG_VioletBox,2245,7	// Sweet Gent
IG_VioletBox,2246,7	// Golden Gear
IG_VioletBox,2247,7	// Romantic Gent
IG_VioletBox,2248,7	// Western Grace
IG_VioletBox,2249,1	// Coronet
IG_VioletBox,2250,7	// Cute Ribbon
IG_VioletBox,2251,7	// Monk Hat
IG_VioletBox,2252,7	// Wizard Hat
IG_VioletBox,2253,7	// Sunflower
IG_VioletBox,2254,1	// Angel Wing
IG_VioletBox,2255,1	// Evil Wing
IG_VioletBox,2257,7	// Unicorn Horn
IG_VioletBox,2258,1	// Spiky Band
IG_VioletBox,2259,7	// Mini Propeller
IG_VioletBox,2260,7	// Mini Glasses
IG_VioletBox,2261,7	// Army Cap
IG_VioletBox,2262,7	// Clown Nose
IG_VioletBox,2263,7	// Zorro Masque
IG_VioletBox,2265,7	// Gangster Mask
IG_VioletBox,2266,7	// Iron Cain
IG_VioletBox,2267,7	// Cigarette
IG_VioletBox,2268,7	// Pipe
IG_VioletBox,2269,7	// Romantic Flower
IG_VioletBox,2270,7	// Romantic Leaf
IG_VioletBox,2271,7	// Jack be Dandy
IG_VioletBox,2274,1	// Ghost Bandana
IG_VioletBox,2275,7	// Red Bandana
IG_VioletBox,2276,7	// Angled Glasses
IG_VioletBox,2277,7	// Nurse Cap
IG_VioletBox,2278,7	// Mr. Smile
IG_VioletBox,2279,7	// Bomb Wick
IG_VioletBox,2282,7	// Halo
IG_VioletBox,2285,7	// Apple of Archer
IG_VioletBox,2286,1	// Elven Ears
IG_VioletBox,2287,7	// Pirate Bandana
IG_VioletBox,2288,7	// Mr. Scream
IG_VioletBox,2289,7	// Poo Poo Hat
IG_VioletBox,2290,7	// Funeral Hat
IG_VioletBox,2291,7	// Masquerade
IG_VioletBox,2294,7	// Stellar
IG_VioletBox,2295,7	// Blinker
IG_VioletBox,2297,7	// Goblin Mask
IG_VioletBox,2298,7	// Green Feeler
IG_VioletBox,2299,7	// Orc Helm
IG_VioletBox,2302,7	// Cotton Shirt
IG_VioletBox,2304,7	// Jacket
IG_VioletBox,2306,7	// Adventurer's Suit
IG_VioletBox,2308,7	// Mantle
IG_VioletBox,2310,7	// Coat
IG_VioletBox,2311,7	// Mink Coat
IG_VioletBox,2313,7	// Padded Armor
IG_VioletBox,2315,7	// Chain Mail
IG_VioletBox,2317,7	// Full Plate
IG_VioletBox,2318,7	// Lord's Clothes
IG_VioletBox,2320,7	// Formal Suit
IG_VioletBox,2322,7	// Silk Robe
IG_VioletBox,2324,7	// Scapulare
IG_VioletBox,2326,7	// Saint's Robe
IG_VioletBox,2327,1	// Holy Robe
IG_VioletBox,2329,7	// Wooden Mail
IG_VioletBox,2331,7	// Tights
IG_VioletBox,2333,7	// Silver Robe
IG_VioletBox,2334,1	// Mage Coat
IG_VioletBox,2336,7	// Thief Clothes
IG_VioletBox,2337,7	// Ninja Suit
IG_VioletBox,2339,7	// Pantie
IG_VioletBox,2340,7	// Novice Breastplate
IG_VioletBox,2352,7	// Tattered Novice Ninja Suit
IG_VioletBox,2402,7	// Sandals
IG_VioletBox,2404,7	// Shoes
IG_VioletBox,2406,7	// Boots
IG_VioletBox,2407,7	// Crystal Pumps
IG_VioletBox,2408,7	// Shackles
IG_VioletBox,2409,7	// High Heels
IG_VioletBox,2411,7	// Greaves
IG_VioletBox,2414,7	// Novice Slippers
IG_VioletBox,2502,7	// Hood
IG_VioletBox,2504,7	// Muffler
IG_VioletBox,2506,7	// Manteau
IG_VioletBox,2507,7	// Ancient Cape
IG_VioletBox,2508,7	// Ragamuffin Manteau
IG_VioletBox,2510,7	// Somber Novice Hood
IG_VioletBox,2513,1	// Heavenly Maiden Robe
IG_VioletBox,2514,1	// Pauldron
IG_VioletBox,2515,1	// Eagle Wing
IG_VioletBox,2601,7	// Ring
IG_VioletBox,2602,7	// Earring
IG_VioletBox,2603,7	// Necklace
IG_VioletBox,2604,7	// Glove
IG_VioletBox,2605,7	// Brooch
IG_VioletBox,2607,7	// Clip
IG_VioletBox,2608,7	// Rosary
IG_VioletBox,2609,7	// Skull Ring
IG_VioletBox,2610,7	// Gold Ring
IG_VioletBox,2611,7	// Silver Ring
IG_VioletBox,2612,7	// Flower Ring
IG_VioletBox,2613,7	// Diamond Ring
IG_VioletBox,2614,1	// Eye of Dullahan
IG_VioletBox,2615,1	// Safety Ring
IG_VioletBox,2616,1	// Critical Ring
IG_VioletBox,2617,7	// Celebrant's Mitten
IG_VioletBox,2618,7	// Matyr's Leash
IG_VioletBox,2621,1	// Ring
