// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

1152,Orc Skeleton,214285
1153,Orc Zombie,214285
1154,Pasana,71428
1155,Petite,71428
1156,Petite,71428
1158,Phen,214285
1160,Piere,357142
1161,Plankton,357142
1163,Raydric,71428
1164,Requiem,214285
1165,Sandman,214285
1166,Savage,214285
1167,Savage Babe,357142
1169,Skeleton Worker,214285
1170,Sohee,214285
1174,Stainer,357142
1175,Tarou,357142
1176,Vitata,214285
1177,Zenorc,214285
1178,Zerom,214285
1179,Whisper,71428
1180,Nine Tail,71428
1182,Thief Mushroom,71428
1185,Whisper,71428
1186,Giant Whisper,71428
1188,Bongun,214285
1189,Orc Archer,71428
1191,Mimic,71428
1192,Wraith,71428
1193,Alarm,71428
1194,Arclouze,71428
1195,Rideword,71428
1196,Skeleton Prisoner,71428
1197,Zombie Prisoner,71428
1199,Punk,71428
1200,Zealotus,71428
1201,Rybio,71428
1202,Phendark,71428
1203,Mysteltainn,71428
1204,Ogretooth,71428
1205,Executioner,71428
1206,Anolian,71428
1207,Sting,71428
1208,Wanderer,71428
1209,Cramp,71428
1211,Brilight,71428
1212,Iron Fist,71428
1213,High Orc,71428
1214,Choco,71428
1215,Stem Worm,214285
1216,Penomena,71428
1219,Abysmal Knight,71428
1242,Marin,357142
1243,Sasquatch,214285
1245,Christmas Goblin,71428
1246,Christmas Cookie,214285
1248,Cruiser,214285
1249,Myst Case,214285
1250,Chepet,71428
1253,Gargoyle,71428
1254,Raggler,214285
1255,Nereid,214285
1256,Pest,214285
1257,Injustice,71428
1258,Goblin Archer,214285
1259,Gryphon,71428
1260,Dark Frame,71428
1261,Wild Rose,214285
1262,Mutant Dragonoid,71428
1263,Wind Ghost,71428
1264,Merman,71428
1265,Cookie,214285
1266,Aster,357142
1267,Carat,71428
1268,Bloody Knight,71428
1269,Clock,71428
1270,Clock Tower Manager,71428
1271,Alligator,71428
1273,Orc Lady,214285
1274,Megalith,71428
1275,Alice,71428
1276,Raydric Archer,71428
1277,Greatest General,214285
1278,Stalactic Golem,71428
1279,Tri Joint,214285
1280,Goblin Steamrider,214285
1281,Sage Worm,71428
1282,Kobold Archer,214285
1283,Chimera,71428
1289,Maya Purple,71428
1290,Skeleton General,71428
1291,Wraith Dead,71428
1292,Mini Demon,71428
1293,Creamy Fear,71428
1294,Killer Mantis,71428
1295,Owl Baron,71428
1296,Kobold Leader,71428
1297,Ancient Mummy,71428
1298,Zombie Master,71428
1299,Goblin Leader,71428
1300,Caterpillar,71428
1301,Am Mut,71428
1302,Dark Illusion,71428
1303,Giant Hornet,71428
1304,Giant Spider,71428
1305,Ancient Worm,71428
1306,Leib Olmai,71428
1307,Cat o' Nine Tails,71428
1308,Panzer Goblin,71428
1309,Gajomart,71428
1310,Majoruros,71428
1311,Gullinbursti,71428
1313,Mobster,71428
1314,Permeter,71428
1315,Assaulter,71428
1316,Solider,71428
1317,Seal,71428
1318,Heater,71428
1319,Freezer,71428
1320,Owl Duke,71428
1321,Dragon Tail,71428
1322,Spring Rabbit,71428
1323,Sea Otter,71428
1365,Apocalypse,71428
1366,Lava Golem,71428
1367,Blazer,71428
1368,Geographer,71428
1369,Grand Peco,71428
1370,Succubus,71428
1371,False Angel,71428
1372,Goat,71428
1374,Incubus,71428
1375,The Paper,71428
1376,Harpy,71428
1377,Elder,71428
1378,Demon Pungus,71428
1379,Nightmare Terror,71428
1380,Driller,71428
1381,Grizzly,71428
1382,Diabolic,71428
1383,Explosion,71428
1384,Deleter,71428
1385,Deleter,71428
1386,Sleeper,71428
1387,Gig,71428
1390,Violy,71428
1391,Galapago,71428
1392,Rotar Zairo,214285
1400,Karakasa,214285
1401,Shinobi,71428
1402,Poison Toad,71428
1403,Firelock Soldier,71428
1404,Miyabi Doll,214285
1405,Tengu,71428
1406,Kapha,71428
1408,Bloody Butterfly,71428
1409,Dumpling Child,214285
1410,Enchanted Peach Tree,71428
1412,Taoist Hermit,71428
1413,Hermit Plant,71428
1415,Baby Leopard,214285
1416,Evil Nymph,71428
1417,Zipper Bear,214285
1493,Dryad,71428
1494,Beetle King,214285
1495,Stone Shooter,71428
1497,Wooden Golem,71428
1498,Wootan Shooter,214285
1499,Wootan Fighter,71428
1500,Parasite,214285
1503,Gibbet,71428
1504,Dullahan,71428
1505,Loli Ruri,71428
1506,Disguise,71428
1507,Bloody Murderer,71428
1508,Quve,214285
1509,Lude,214285
1510,Heirozoist,71428
1512,Yao Jun,71428
1513,Mao Guai,71428
1514,Zhu Po Long,71428
1515,Baby Hatii,71428
1516,Mi Gao,71428
1517,Jing Guai,71428
1519,Green Maiden,71428
1520,Boiled Rice,71428
1582,Deviling,71428
1584,Tamruan,71428
1586,Leaf Cat,71428
1587,Kraben,71428
1613,Metaling,71428
1614,Mineral,71428
1615,Obsidian,71428
1616,Pitman,71428
1617,Old Stove,71428
1618,Ungoliant,71428
1619,Porcellio,71428
1620,Noxious,71428
1621,Venomous,71428
1622,Teddy Bear,71428
1627,Anopheles,71428
1628,Holden,71428
1629,Hill Wind,71428
1631,Green Maiden,71428
1632,Gremlin,71428
1633,Beholder,71428
1634,Seyren Windsor,71428
1635,Eremes Guile,71428
1636,Howard Alt-Eisen,71428
1637,Margaretha Sorin,71428
1638,Cecil Damon,71428
1639,Kathryne Keyron,71428
1652,Egnigem Cenia,71428
1653,Wickebine Tres,71428
1654,Armeyer Dinze,71428
1655,Errende Ebecee,71428
1656,Kavach Icarus,71428
1657,Laurell Weinder,71428
1664,Photon Cannon,71428
1665,Photon Cannon,71428
1666,Photon Cannon,71428
1667,Photon Cannon,71428
1668,Archdam,71428
1669,Dimik,71428
1670,Dimik,71428
1671,Dimik,71428
1672,Dimik,71428
1673,Dimik,71428
1675,Venatu,71428
1676,Venatu,71428
1677,Venatu,71428
1678,Venatu,71428
1679,Venatu,71428
1680,Hill Wind,71428
1681,Gemini-S58,71428
1682,Remover,71428
1686,Orc Baby,71428
1687,Grove,71428
1692,Breeze,71428
1693,Plasma,71428
1694,Plasma,71428
1695,Plasma,71428
1696,Plasma,71428
1699,Ancient Mimic,71428
1703,Lady Solace,71428
1704,Odium of Thanatos,71428
1705,Despero of Thanatos,71428
1706,Maero of Thanatos,71428
1707,Dolor of Thanatos,71428
1713,Acidus,71428
1714,Ferus,71428
1715,Novus,71428
1717,Ferus,71428
1718,Novus,71428
1720,Hydrolancer,71428
1721,Dragon Egg,71428
1736,Aliot,71428
1737,Aliza,71428
1738,Constant,71428
1752,Skogul,71428
1753,Frus,71428
1754,Skeggiold,71428
1755,Skeggiold,71428
1769,Agav,71428
1770,Echio,71428
1771,Vanberk,71428
1772,Isilla,71428
1773,Hodremlin,71428
1774,Seeker,71428
1775,Snowier,71428
1776,Siroma,71428
1777,Ice Titan,71428
1778,Gazeti,71428
1780,Muscipular,71428
1781,Drosera,71428
1782,Roween,71428
1783,Galion,71428
1784,Stapo,142857
1789,Iceicle,71428
1796,Aunoe,142857
1797,Fanat,142857
1829,Sword Guardian,71428
1830,Bow Guardian,71428
1831,Salamander,71428
1833,Kasa,71428
1836,Magmaring,214285
1837,Imp,71428
1838,Knocker,71428
1839,Byrogue,71428
1864,Zombie Slaughter,71428
1865,Ragged Zombie,71428
1866,Hellhound,71428
1867,Banshee,71428
1869,Flame Skull,71428
1870,Necromancer,71428
1872,Hell Fly,71428
1880,Wood Goblin,71428
1881,Les,71428
1882,Baba-Yaga,71428
1883,Uzhas,71428
1884,Mavka,71428
1918,Incarnation of Morroc,71428
1919,Incarnation of Morroc,71428
1920,Incarnation of Morroc,71428
1921,Incarnation of Morroc,71428
1974,Banshee Master,71428
1975,Beholder Master,71428
1976,Cobalt Mineral,71428
1977,Heavy Metaling,71428
1978,Hell Vesper,71428
1979,Zakudam,71428
1986,Tatacho,71428
1987,Centipede,71428
1988,Nepenthes,71428
1989,Hillthrion,71428
1990,Hardrock Mammoth,71428
1991,Tendrillion,71428
1992,Cornus,71428
1993,Naga,71428
1994,Luciola Vespa,71428
1995,Pinguicula,71428
1999,Centipede Larva,71428
2013,Draco,71428
2015,Dark Pinguicula,71428
2016,Aqua Elemental,71428
2017,Rata,71428
2018,Duneyrr,71428
2019,Ancient Tree,71428
2020,Rhyncho,71428
2021,Phylla,71428
2023,Dark Shadow,71428
2024,Bradium Golem,71428
