// List of SC that will be removed if there is SC that will be activated
//
// SC,RemoveSC,Return
//
// SC        : Incoming SC
// RemoveSC  : SC that will be removed. Some SC still needs hardcodes check. For multiple values, use ':' delimiter
// Return    : When SC is ending SCs, it will gives no effect from itself.
//

//SC_UTSUSEMI
//SC_BUNSINJYUTSU
//SC_KAENSIN
//SC_SUITON
//SC_NEN
//SC_KNOWLEDGE
//SC_SMA
//SC_FLING
//SC_AVOID
//SC_CHANGE
//SC_BLOODLUST
//SC_FLEET
//SC_SPEED
//SC_DEFENCE
//SC_INCASPDRATE
//SC_INCFLEE2
//SC_JAILED
//SC_ENCHANTARMS
//SC_MAGICALATTACK
//SC_ARMORCHANGE
//SC_CRITICALWOUND
//SC_MAGICMIRROR
//SC_SLOWCAST
//SC_SUMMER
//SC_EXPBOOST
//SC_ITEMBOOST
//SC_BOSSMAPINFO
//SC_LIFEINSURANCE
//SC_INCCRI
//SC_INCDEF
//SC_INCBASEATK
//SC_FASTCAST
//SC_MDEF_RATE
//SC_HPREGEN
//SC_INCHEALRATE
//SC_PNEUMA
//SC_AUTOTRADE
//SC_KSPROTECTED
//SC_ARMOR_RESIST
//SC_SPCOST_RATE
//SC_COMMONSC_RESIST
//SC_SEVENWIND
//SC_DEF_RATE
//SC_SPREGEN
//SC_WALKSPEED
//SC_MERC_FLEEUP
//SC_MERC_ATKUP
//SC_MERC_HPUP
//SC_MERC_SPUP
//SC_MERC_HITUP
//SC_MERC_QUICKEN
//SC_REBIRTH
//SC_SKILLCASTRATE
//SC_DEFRATIOATK
//SC_HPDRAIN
//SC_SKILLATKBONUS
//SC_ITEMSCRIPT
//SC_S_LIFEPOTION
//SC_L_LIFEPOTION
//SC_JEXPBOOST
//SC_IGNOREDEF
//SC_HELLPOWER
SC_INVINCIBLE,SC_INVINCIBLEOFF
SC_INVINCIBLEOFF,SC_INVINCIBLE
//SC_MANU_ATK
//SC_MANU_DEF
//SC_SPL_ATK
//SC_SPL_DEF
//SC_MANU_MATK
//SC_SPL_MATK
SC_FOOD_STR_CASH,SC_STRFOOD
SC_FOOD_AGI_CASH,SC_AGIFOOD
SC_FOOD_VIT_CASH,SC_VITFOOD
SC_FOOD_DEX_CASH,SC_INTFOOD
SC_FOOD_INT_CASH,SC_DEXFOOD
SC_FOOD_LUK_CASH,SC_LUKFOOD
//SC_FEAR
//SC_BURNING
SC_FREEZING,SC_BURNING
//SC_ENCHANTBLADE
//SC_DEATHBOUND
//SC_MILLENNIUMSHIELD
//SC_CRUSHSTRIKE
//SC_REFRESH
//SC_REUSE_REFRESH
//SC_GIANTGROWTH
//SC_STONEHARDSKIN
//SC_VITALITYACTIVATION
//SC_STORMBLAST
SC_FIGHTINGSPIRIT,SC_FIGHTINGSPIRIT
//SC_ABUNDANCE
SC_ADORAMUS,SC_CARTBOOST:SC_GN_CARTBOOST:SC_INCREASEAGI:SC_ADRENALINE:SC_ADRENALINE2:SC_SPEARQUICKEN:SC_TWOHANDQUICKEN:SC_ONEHAND:SC_MERC_QUICKEN:SC_ACCELERATION
//SC_EPICLESIS
//SC_ORATIO
//SC_LAUDAAGNUS
//SC_LAUDARAMUS
//SC_RENOVATIO
//SC_EXPIATIO
//SC_DUPLELIGHT
//SC_SECRAMENT
SC_WHITEIMPRISON,SC_BURNING:SC_FREEZING:SC_FREEZE:SC_STONE
SC_MARSHOFABYSS,SC_INCAGI:SC_WINDWALK:SC_ASPDPOTION0:SC_ASPDPOTION1:SC_ASPDPOTION2:SC_ASPDPOTION3
//SC_RECOGNIZEDSPELL
//SC_STASIS
//SC_SPHERE_1
//SC_SPHERE_2
//SC_SPHERE_3
//SC_SPHERE_4
//SC_SPHERE_5
//SC_READING_SB
//SC_FREEZINGSPELL
//SC_FEARBREEZE
//SC_ELECTRICSHOCKER
//SC_WUGDASH
//SC_BITE
//SC_CAMOUFLAGE
//SC_ACCELERATION
//SC_HOVERING
//SC_SHAPESHIFT
//SC_INFRAREDSCAN
//SC_ANALYZE
//SC_MAGNETICFIELD
//SC_NEUTRALBARRIER
//SC_NEUTRALBARRIER_MASTER
//SC_STEALTHFIELD
//SC_STEALTHFIELD_MASTER
//SC_OVERHEAT
//SC_OVERHEAT_LIMITPOINT
//SC_VENOMIMPRESS
//SC_POISONINGWEAPON
//SC_WEAPONBLOCKING
//SC_CLOAKINGEXCEED
//SC_HALLUCINATIONWALK
//SC_HALLUCINATIONWALK_POSTDELAY
//SC_ROLLINGCUTTER
//SC_TOXIN
//SC_PARALYSE
//SC_VENOMBLEED
//SC_MAGICMUSHROOM
//SC_DEATHHURT
//SC_PYREXIA
//SC_OBLIVIONCURSE
//SC_LEECHESEND
SC_REFLECTDAMAGE,SC_REFLECTSHIELD
//SC_FORCEOFVANGUARD
SC_SHIELDSPELL_DEF,SC_MAGNIFICAT:SC_SHIELDSPELL_MDEF:SC_SHIELDSPELL_REF
SC_SHIELDSPELL_MDEF,SC_MAGNIFICAT:SC_SHIELDSPELL_DEF:SC_SHIELDSPELL_REF
SC_SHIELDSPELL_REF,SC_MAGNIFICAT:SC_SHIELDSPELL_DEF:SC_SHIELDSPELL_MDEF
//SC_EXEEDBREAK
//SC_PRESTIGE
//SC_BANDING
//SC_BANDING_DEFENCE
//SC_EARTHDRIVE
//SC_INSPIRATION
//SC_SPELLFIST
//SC_CRYSTALIZE
//SC_STRIKING
SC_WARMER,SC_CRYSTALIZE:SC_FREEZING:SC_FREEZE
//SC_VACUUM_EXTREME
//SC_PROPERTYWALK
// Group A
SC_SWINGDANCE,SC_SYMPHONYOFLOVER:SC_MOONLITSERENADE:SC_RUSHWINDMILL:SC_ECHOSONG:SC_HARMONIZE
SC_SYMPHONYOFLOVER,SC_SWINGDANCE:SC_MOONLITSERENADE:SC_RUSHWINDMILL:SC_ECHOSONG:SC_HARMONIZE
SC_MOONLITSERENADE,SC_SWINGDANCE:SC_SYMPHONYOFLOVER:SC_RUSHWINDMILL:SC_ECHOSONG:SC_HARMONIZE
SC_RUSHWINDMILL,SC_SWINGDANCE:SC_SYMPHONYOFLOVER:SC_MOONLITSERENADE:SC_ECHOSONG:SC_HARMONIZE
SC_ECHOSONG,SC_SWINGDANCE:SC_SYMPHONYOFLOVER:SC_MOONLITSERENADE:SC_RUSHWINDMILL:SC_HARMONIZE
SC_HARMONIZE,SC_SWINGDANCE:SC_SYMPHONYOFLOVER:SC_MOONLITSERENADE:SC_RUSHWINDMILL:SC_ECHOSONG
// Group B
SC_VOICEOFSIREN,SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_DEEPSLEEP,SC_DANCING:SC_VOICEOFSIREN:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_SIRCLEOFNATURE,SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_GLOOMYDAY,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_VOICEOFSIREN
SC_SONGOFMANA,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_DANCEWITHWUG,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_SATURDAYNIGHTFEVER,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_LERADSDEW,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_MELODYOFSINK,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_BEYONDOFWARCRY:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_BEYONDOFWARCRY,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_UNLIMITEDHUMMINGVOICE:SC_SIRCLEOFNATURE
SC_UNLIMITEDHUMMINGVOICE,SC_VOICEOFSIREN:SC_DEEPSLEEP:SC_GLOOMYDAY:SC_GLOOMYDAY_SK:SC_SONGOFMANA:SC_DANCEWITHWUG:SC_SATURDAYNIGHTFEVER:SC_LERADSDEW:SC_MELODYOFSINK:SC_BEYONDOFWARCRY:SC_SIRCLEOFNATURE
//SC_GLOOMYDAY_SK
//SC_SITDOWN_FORCE
//SC_NETHERWORLD
//SC_CRESCENTELBOW
//SC_CURSEDCIRCLE_ATKER
//SC_CURSEDCIRCLE_TARGET
//SC_LIGHTNINGWALK
//SC_RAISINGDRAGON
SC_GT_ENERGYGAIN,SC_GT_REVITALIZE:SC_GT_CHANGE
SC_GT_CHANGE,SC_GT_ENERGYGAIN:SC_GT_REVITALIZE
SC_GT_REVITALIZE,SC_GT_ENERGYGAIN:SC_GT_CHANGE
SC_GN_CARTBOOST,SC_DECREASEAGI:SC_ADORAMUS,1
//SC_THORNSTRAP
//SC_BLOODSUCKER
//SC_SMOKEPOWDER
//SC_TEARGAS
//SC_MANDRAGORA
//SC_STOMACHACHE
//SC_MYSTERIOUS_POWDER
//SC_MELON_BOMB
//SC_BANANA_BOMB
//SC_BANANA_BOMB_SITDOWN
//SC_SAVAGE_STEAK
//SC_COCKTAIL_WARG_BLOOD
//SC_MINOR_BBQ
//SC_SIROMA_ICE_TEA
//SC_DROCERA_HERB_STEAMED
//SC_PUTTI_TAILS_NOODLES
//SC_BOOST500
//SC_FULL_SWING_K
//SC_MANA_PLUS
//SC_MUSTLE_M
//SC_LIFE_FORCE_F
//SC_EXTRACT_WHITE_POTION_Z
//SC_VITATA_500
//SC_EXTRACT_SALAMINE_JUICE
//SC__REPRODUCE
//SC__AUTOSHADOWSPELL
//SC__SHADOWFORM
//SC__BODYPAINT
//SC__INVISIBILITY
//SC__DEADLYINFECT
//SC__ENERVATION
//SC__GROOMY
//SC__IGNORANCE
//SC__LAZINESS
//SC__UNLUCKY
//SC__WEAKNESS
//SC__STRIPACCESSORY
//SC__MANHOLE
//SC__BLOODYLUST
//SC_CIRCLE_OF_FIRE
//SC_CIRCLE_OF_FIRE_OPTION
//SC_FIRE_CLOAK
//SC_FIRE_CLOAK_OPTION
//SC_WATER_SCREEN
//SC_WATER_SCREEN_OPTION
//SC_WATER_DROP
//SC_WATER_DROP_OPTION
//SC_WATER_BARRIER
//SC_WIND_STEP
//SC_WIND_STEP_OPTION
//SC_WIND_CURTAIN
//SC_WIND_CURTAIN_OPTION
//SC_ZEPHYR
//SC_SOLID_SKIN
//SC_SOLID_SKIN_OPTION
//SC_STONE_SHIELD
//SC_STONE_SHIELD_OPTION
//SC_POWER_OF_GAIA
//SC_PYROTECHNIC
//SC_PYROTECHNIC_OPTION
//SC_HEATER
//SC_HEATER_OPTION
//SC_TROPIC
//SC_TROPIC_OPTION
//SC_AQUAPLAY
//SC_AQUAPLAY_OPTION
//SC_COOLER
//SC_COOLER_OPTION
//SC_CHILLY_AIR
//SC_CHILLY_AIR_OPTION
//SC_GUST
//SC_GUST_OPTION
//SC_BLAST
//SC_BLAST_OPTION
//SC_WILD_STORM
//SC_WILD_STORM_OPTION
//SC_PETROLOGY
//SC_PETROLOGY_OPTION
//SC_CURSED_SOIL
//SC_CURSED_SOIL_OPTION
//SC_UPHEAVAL
//SC_UPHEAVAL_OPTION
//SC_TIDAL_WEAPON
//SC_TIDAL_WEAPON_OPTION
//SC_ROCK_CRUSHER
//SC_ROCK_CRUSHER_ATK
//SC_LEADERSHIP
//SC_GLORYWOUNDS
//SC_SOULCOLD
//SC_HAWKEYES
//SC_ODINS_POWER
//SC_RAID
//SC_FIRE_INSIGNIA
//SC_WATER_INSIGNIA
//SC_WIND_INSIGNIA
//SC_EARTH_INSIGNIA
//SC_PUSH_CART
//SC_SPELLBOOK1
//SC_SPELLBOOK2
//SC_SPELLBOOK3
//SC_SPELLBOOK4
//SC_SPELLBOOK5
//SC_SPELLBOOK6
//SC_MAXSPELLBOOK
//SC_INCMHP
//SC_INCMSP
//SC_PARTYFLEE
//SC_MEIKYOUSISUI
//SC_JYUMONJIKIRI
//SC_KYOUGAKU
//SC_IZAYOI
//SC_ZENKAI
//SC_KAGEHUMI
//SC_KYOMU
//SC_KAGEMUSYA
//SC_ZANGETSU
//SC_GENSOU
//SC_AKAITSUKI
//SC_STYLE_CHANGE
//SC_TINDER_BREAKER
//SC_TINDER_BREAKER2
//SC_CBC
SC_EQC,SC_TINDER_BREAKER2
//SC_GOLDENE_FERSE
//SC_ANGRIFFS_MODUS
//SC_OVERED_BOOST
//SC_LIGHT_OF_REGENE
//SC_ASH
//SC_GRANITIC_ARMOR
//SC_MAGMA_FLOW
//SC_PYROCLASTIC
//SC_PARALYSIS
//SC_PAIN_KILLER
//SC_HANBOK
//SC_DEFSET
//SC_MDEFSET
//SC_DARKCROW
//SC_FULL_THROTTLE
//SC_REBOUND
//SC_UNLIMIT
//SC_KINGS_GRACE
//SC_TELEKINESIS_INTENSE
//SC_OFFERTORIUM
//SC_FRIGG_SONG
//SC_MONSTER_TRANSFORM
//SC_ANGEL_PROTECT
//SC_ILLUSIONDOPING
//SC_FLASHCOMBO
//SC_MOONSTAR
//SC_SUPER_STAR
//SC_HEAT_BARREL
//SC_HEAT_BARREL_AFTER
//SC_P_ALTER
//SC_E_CHAIN
//SC_C_MARKER
//SC_ANTI_M_BLAST
//SC_B_TRAP
//SC_H_MINE
//SC_QD_SHOT_READY
//SC_MTF_ASPD
//SC_MTF_RANGEATK
//SC_MTF_MATK
//SC_MTF_MLEATKED
//SC_MTF_CRIDAMAGE
//SC_OKTOBERFEST
//SC_STRANGELIGHTS
//SC_DECORATION_OF_MUSIC
//SC_QUEST_BUFF1
//SC_QUEST_BUFF2
//SC_QUEST_BUFF3
SC_ALL_RIDING,SC_ALL_RIDING,1
//SC_TEARGAS_SOB
//SC__FEINTBOMB
//SC__CHAOS
//SC_ELEMENTAL_SHIELD
//SC_EXTREMITYFIST2

// Other Notes:
// - SC_ONEHAND removes the Aspd potion effect, as reported by Vicious. [Skotlex]
// - SC_ALL_RIDING. Already mounted, just dismount.
// - SC_GN_CARTBOOST andSC_CARTBOOST cancel Decrease Agi, but take no further effect [Skotlex]
