# ============================================================
# EXCLUDED ITEMS REPORT
# Items that did NOT pass verification
# ============================================================
# Generated: 2025-12-01 02:55:29
# Total excluded: 986
# Format: ItemID,ItemName,ExclusionReason,FileFound
# ============================================================

914,Fluff,Job quest: countitem in npc/re/jobs/novice/academy.txt; Job quest: delitem in npc/re/jobs/novice/academy.txt; Custom script: delitem in npc/re/custom/lasagna/lasagna_npcs.txt,npc/re/jobs/novice/academy.txt; npc/re/custom/lasagna/lasagna_npcs.txt
915,Chrysalis,Quest requirement: countitem in npc/pre-re/quests/collection/quest_pupa.txt; Quest requirement: delitem in npc/pre-re/quests/collection/quest_pupa.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/pre-re/quests/collection/quest_pupa.txt; npc/jobs/2-2/rogue.txt
916,Feather of Birds,Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/re/quests/newgears/2010_headgears.txt; npc/jobs/2-2/rogue.txt
917,Talon,Job quest: countitem in npc/jobs/2-2/rogue.txt; Job quest: delitem in npc/jobs/2-2/rogue.txt,npc/jobs/2-2/rogue.txt
918,Sticky Webfoot,Custom script: countitem in npc/re/custom/lasagna/lasagna_npcs.txt; Custom script: delitem in npc/re/custom/lasagna/lasagna_npcs.txt; Quest reward: getitem in npc/quests/quests_13_2.txt,npc/re/custom/lasagna/lasagna_npcs.txt; npc/quests/quests_13_2.txt
919,Animal Skin,Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/re/quests/eden/26-40.txt; npc/jobs/2-2/rogue.txt
920,Wolf Claw,Quest requirement: countitem in npc/quests/partyrelay.txt; Quest requirement: delitem in npc/quests/partyrelay.txt; Quest requirement: countitem in npc/quests/guildrelay.txt,npc/quests/partyrelay.txt; npc/quests/guildrelay.txt
921,Mushroom Spore,Custom script: countitem in npc/re/custom/lasagna/lasagna_npcs.txt; Custom script: delitem in npc/re/custom/lasagna/lasagna_npcs.txt; Quest requirement: countitem in npc/quests/quests_hugel.txt,npc/re/custom/lasagna/lasagna_npcs.txt; npc/quests/quests_hugel.txt
923,Evil Horn,Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: delitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: countitem in npc/quests/quests_alberta.txt,npc/custom/quests/thq/THQS_Quests.txt; npc/quests/quests_alberta.txt
924,Powder of Butterfly,Quest requirement: countitem in npc/pre-re/quests/collection/quest_creamy.txt; Quest requirement: delitem in npc/pre-re/quests/collection/quest_creamy.txt; Quest requirement: countitem in npc/quests/skills/swordman_skills.txt,npc/pre-re/quests/collection/quest_creamy.txt; npc/quests/skills/swordman_skills.txt
925,Bill of Birds,Quest requirement: countitem in npc/pre-re/quests/collection/quest_pecopeco.txt; Quest requirement: delitem in npc/pre-re/quests/collection/quest_pecopeco.txt; Quest requirement: countitem in npc/custom/quests/may_hats.txt,npc/pre-re/quests/collection/quest_pecopeco.txt; npc/custom/quests/may_hats.txt
926,Snake Scale,Quest requirement: countitem in npc/quests/quests_comodo.txt; Quest requirement: delitem in npc/quests/quests_comodo.txt,npc/quests/quests_comodo.txt
929,Immortal Heart,Job quest: countitem in npc/jobs/2-2e/SoulLinker.txt; Job quest: delitem in npc/jobs/2-2e/SoulLinker.txt,npc/jobs/2-2e/SoulLinker.txt
930,Rotten Bandage,Quest requirement: countitem in npc/re/quests/quests_malaya.txt; Quest requirement: delitem in npc/re/quests/quests_malaya.txt; Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt,npc/re/quests/quests_malaya.txt; npc/custom/quests/thq/THQS_Quests.txt
931,Orcish Voucher,Quest-named: Name contains 'voucher'; Quest requirement: countitem in npc/quests/newgears/2004_headgears.txt; Quest requirement: delitem in npc/quests/newgears/2004_headgears.txt,Name analysis; npc/quests/newgears/2004_headgears.txt
932,Skel-Bone,Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt; Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt,npc/re/quests/eden/26-40.txt; npc/custom/quests/thq/THQS_Quests.txt
934,Memento,Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: delitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: countitem in npc/quests/quests_nameless.txt,npc/custom/quests/thq/THQS_Quests.txt; npc/quests/quests_nameless.txt
935,Shell,Job quest: countitem in npc/jobs/1-1e/gunslinger.txt; Job quest: delitem in npc/jobs/1-1e/gunslinger.txt; Job quest: countitem in npc/jobs/2-2/monk.txt,npc/jobs/1-1e/gunslinger.txt; npc/jobs/2-2/monk.txt
936,Scale Shell,Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: countitem in npc/quests/quests_comodo.txt,npc/re/quests/newgears/2010_headgears.txt; npc/quests/quests_comodo.txt
937,Venom Canine,Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: countitem in npc/quests/quests_louyang.txt,npc/re/quests/newgears/2010_headgears.txt; npc/quests/quests_louyang.txt
938,Sticky Mucus,Job quest: countitem in npc/jobs/2-2/monk.txt; Job quest: delitem in npc/jobs/2-2/monk.txt; Job quest: countitem in npc/jobs/novice/supernovice.txt,npc/jobs/2-2/monk.txt; npc/jobs/novice/supernovice.txt
939,Bee Sting,Quest requirement: countitem in npc/quests/quests_louyang.txt; Quest requirement: delitem in npc/quests/quests_louyang.txt,npc/quests/quests_louyang.txt
940,Grasshopper's Leg,Quest requirement: countitem in npc/quests/cooking_quest.txt; Quest requirement: delitem in npc/quests/cooking_quest.txt; Quest requirement: countitem in npc/quests/skills/thief_skills.txt,npc/quests/cooking_quest.txt; npc/quests/skills/thief_skills.txt
941,Nose Ring,Quest requirement: countitem in npc/quests/newgears/2005_headgears.txt; Quest requirement: delitem in npc/quests/newgears/2005_headgears.txt,npc/quests/newgears/2005_headgears.txt
942,Yoyo Tail,Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/re/quests/eden/26-40.txt; npc/jobs/2-2/rogue.txt
943,Solid Shell,Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt; Job quest: countitem in npc/jobs/2-2/monk.txt,npc/re/quests/newgears/2010_headgears.txt; npc/jobs/2-2/monk.txt
944,Horseshoe,Quest requirement: countitem in npc/re/quests/quests_eclage.txt; Quest requirement: delitem in npc/re/quests/quests_eclage.txt; Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt,npc/re/quests/quests_eclage.txt; npc/custom/quests/thq/THQS_Quests.txt
945,Raccoon Leaf,Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/re/quests/eden/26-40.txt; npc/jobs/2-2/rogue.txt
946,Snail's Shell,Quest requirement: countitem in npc/quests/skills/sage_skills.txt; Quest requirement: delitem in npc/quests/skills/sage_skills.txt,npc/quests/skills/sage_skills.txt
947,Horn,Quest requirement: countitem in npc/quests/skills/sage_skills.txt; Quest requirement: delitem in npc/quests/skills/sage_skills.txt,npc/quests/skills/sage_skills.txt
948,Bear's Footskin,Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt; Job quest: countitem in npc/jobs/2-2/monk.txt,npc/re/quests/eden/26-40.txt; npc/jobs/2-2/monk.txt
949,Feather,Job quest: countitem in npc/re/jobs/3-2/shadow_chaser.txt; Job quest: delitem in npc/re/jobs/3-2/shadow_chaser.txt; Job quest: countitem in npc/re/jobs/novice/academy.txt,npc/re/jobs/3-2/shadow_chaser.txt; npc/re/jobs/novice/academy.txt
950,Heart of Mermaid,Quest requirement: countitem in npc/quests/quests_amatsu.txt; Quest requirement: delitem in npc/quests/quests_amatsu.txt; Quest requirement: countitem in npc/quests/quests_brasilis.txt,npc/quests/quests_amatsu.txt; npc/quests/quests_brasilis.txt
951,Fin,Quest requirement: countitem in npc/quests/seals/sleipnir_seal.txt; Quest requirement: delitem in npc/quests/seals/sleipnir_seal.txt,npc/quests/seals/sleipnir_seal.txt
952,Cactus Needle,Event script: countitem in npc/events/christmas_2005.txt; Event script: delitem in npc/events/christmas_2005.txt; Quest requirement: countitem in npc/quests/newgears/2006_headgears.txt,npc/events/christmas_2005.txt; npc/quests/newgears/2006_headgears.txt
953,Stone Heart,Quest requirement: countitem in npc/pre-re/quests/collection/quest_golem.txt; Quest requirement: delitem in npc/pre-re/quests/collection/quest_golem.txt; Job quest: countitem in npc/jobs/2-2/rogue.txt,npc/pre-re/quests/collection/quest_golem.txt; npc/jobs/2-2/rogue.txt
954,Shining Scale,Quest requirement: countitem in npc/quests/quests_comodo.txt; Quest requirement: delitem in npc/quests/quests_comodo.txt; Quest requirement: countitem in npc/quests/newgears/2006_headgears.txt,npc/quests/quests_comodo.txt; npc/quests/newgears/2006_headgears.txt
955,Worm Peeling,Quest reward: getitem in npc/re/quests/quests_dewata.txt; Quest requirement: countitem in npc/re/quests/eden/26-40.txt; Quest requirement: delitem in npc/re/quests/eden/26-40.txt,npc/re/quests/quests_dewata.txt; npc/re/quests/eden/26-40.txt
956,Gill,Quest reward: getitem in npc/quests/quests_13_2.txt; Quest reward: getitem in npc/quests/quests_13_1.txt; Quest requirement: countitem in npc/quests/seals/sleipnir_seal.txt,npc/quests/quests_13_2.txt; npc/quests/quests_13_1.txt
957,Decayed Nail,Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: delitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: countitem in npc/quests/quests_yuno.txt,npc/custom/quests/thq/THQS_Quests.txt; npc/quests/quests_yuno.txt
958,Horrendous Mouth,Quest requirement: countitem in npc/quests/monstertamers.txt; Quest requirement: delitem in npc/quests/monstertamers.txt; Quest requirement: countitem in npc/quests/skills/swordman_skills.txt,npc/quests/monstertamers.txt; npc/quests/skills/swordman_skills.txt
959,Stinky Scale,Quest requirement: countitem in npc/quests/quests_comodo.txt; Quest requirement: delitem in npc/quests/quests_comodo.txt; Quest requirement: countitem in npc/quests/newgears/2004_headgears.txt,npc/quests/quests_comodo.txt; npc/quests/newgears/2004_headgears.txt
960,Nipper,Quest requirement: countitem in npc/quests/cooking_quest.txt; Quest requirement: delitem in npc/quests/cooking_quest.txt; Quest reward: getitem in npc/quests/quests_13_2.txt,npc/quests/cooking_quest.txt; npc/quests/quests_13_2.txt
961,Conch,Quest requirement: countitem in npc/quests/quests_amatsu.txt; Quest requirement: delitem in npc/quests/quests_amatsu.txt; Quest requirement: countitem in npc/quests/seals/sleipnir_seal.txt,npc/quests/quests_amatsu.txt; npc/quests/seals/sleipnir_seal.txt
962,Tentacle,Quest requirement: countitem in npc/quests/doomed_swords_quest.txt; Quest requirement: delitem in npc/quests/doomed_swords_quest.txt; Quest requirement: countitem in npc/quests/skills/merchant_skills.txt,npc/quests/doomed_swords_quest.txt; npc/quests/skills/merchant_skills.txt
963,Sharp Scale,Quest reward: getitem in npc/quests/quests_13_2.txt; Quest reward: getitem in npc/quests/quests_13_1.txt; Quest requirement: countitem in npc/quests/seals/sleipnir_seal.txt,npc/quests/quests_13_2.txt; npc/quests/quests_13_1.txt
964,Crab Shell,Quest requirement: countitem in npc/quests/quests_amatsu.txt; Quest requirement: delitem in npc/quests/quests_amatsu.txt; Quest requirement: countitem in npc/quests/obb_quest.txt,npc/quests/quests_amatsu.txt; npc/quests/obb_quest.txt
965,Clam Shell,Quest requirement: countitem in npc/quests/obb_quest.txt; Quest requirement: delitem in npc/quests/obb_quest.txt; Quest requirement: countitem in npc/quests/seals/sleipnir_seal.txt,npc/quests/obb_quest.txt; npc/quests/seals/sleipnir_seal.txt
966,Clam Flesh,Quest requirement: countitem in npc/quests/seals/sleipnir_seal.txt; Quest requirement: delitem in npc/quests/seals/sleipnir_seal.txt,npc/quests/seals/sleipnir_seal.txt
968,Heroic Emblem,Quest requirement: countitem in npc/quests/quests_alberta.txt; Quest requirement: delitem in npc/quests/quests_alberta.txt; Quest requirement: countitem in npc/quests/newgears/2004_headgears.txt,npc/quests/quests_alberta.txt; npc/quests/newgears/2004_headgears.txt
969,Gold,Quest requirement: countitem in npc/custom/quests/event_6_new_hats.txt; Quest requirement: delitem in npc/custom/quests/event_6_new_hats.txt; Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt,npc/custom/quests/event_6_new_hats.txt; npc/custom/quests/thq/THQS_Quests.txt
970,Alcohol,Quest requirement: countitem in npc/re/quests/quests_16_1.txt; Quest requirement: delitem in npc/re/quests/quests_16_1.txt; NPC Shop: countitem in npc/merchants/wander_pet_food.txt,npc/re/quests/quests_16_1.txt; npc/merchants/wander_pet_food.txt
971,Detrimindexta,Quest requirement: countitem in npc/quests/quests_hugel.txt; Quest requirement: delitem in npc/quests/quests_hugel.txt; Quest requirement: countitem in npc/quests/counteragent_mixture.txt,npc/quests/quests_hugel.txt; npc/quests/counteragent_mixture.txt
972,Karvodailnirol,Quest requirement: countitem in npc/re/quests/quests_eclage.txt; Quest requirement: delitem in npc/re/quests/quests_eclage.txt; Quest requirement: countitem in npc/quests/counteragent_mixture.txt,npc/re/quests/quests_eclage.txt; npc/quests/counteragent_mixture.txt
973,Counteragent,No valid mob drops found in mob_db.yml; NPC Shop: countitem in npc/pre-re/merchants/hair_style.txt; NPC Shop: delitem in npc/pre-re/merchants/hair_style.txt,mob_db.yml; npc/pre-re/merchants/hair_style.txt
974,Mixture,No valid mob drops found in mob_db.yml; Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt,mob_db.yml; npc/re/quests/newgears/2010_headgears.txt
975,Scarlet Dyestuffs,No valid mob drops found in mob_db.yml; Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt,mob_db.yml; npc/re/quests/newgears/2010_headgears.txt
976,Lemon Dyestuffs,No valid mob drops found in mob_db.yml; NPC Shop: delitem in npc/pre-re/merchants/hair_dyer.txt; Quest requirement: countitem in npc/custom/quests/event_6_new_hats.txt,mob_db.yml; npc/pre-re/merchants/hair_dyer.txt
978,Cobaltblue Dyestuffs,No valid mob drops found in mob_db.yml; Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt,mob_db.yml; npc/re/quests/newgears/2010_headgears.txt
979,Darkgreen Dyestuffs,NPC Shop: delitem in npc/pre-re/merchants/hair_dyer.txt; Quest requirement: countitem in npc/custom/quests/event_6_new_hats.txt; Quest requirement: delitem in npc/custom/quests/event_6_new_hats.txt,npc/pre-re/merchants/hair_dyer.txt; npc/custom/quests/event_6_new_hats.txt
980,Orange Dyestuffs,No valid mob drops found in mob_db.yml; NPC Shop: delitem in npc/pre-re/merchants/hair_dyer.txt; Quest requirement: countitem in npc/custom/quests/may_hats.txt,mob_db.yml; npc/pre-re/merchants/hair_dyer.txt
981,Violet Dyestuffs,No valid mob drops found in mob_db.yml; Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt; Quest requirement: delitem in npc/re/quests/newgears/2010_headgears.txt,mob_db.yml; npc/re/quests/newgears/2010_headgears.txt
982,White Dyestuffs,No valid mob drops found in mob_db.yml; NPC Shop: delitem in npc/pre-re/merchants/hair_dyer.txt; NPC Shop: countitem in npc/merchants/hair_dyer.txt,mob_db.yml; npc/pre-re/merchants/hair_dyer.txt
983,Black Dyestuffs,NPC Shop: delitem in npc/pre-re/merchants/hair_dyer.txt; Quest requirement: countitem in npc/custom/quests/bandit_beard.txt; Quest requirement: delitem in npc/custom/quests/bandit_beard.txt,npc/pre-re/merchants/hair_dyer.txt; npc/custom/quests/bandit_beard.txt
984,Oridecon,Job quest: getitem in npc/re/jobs/novice/academy.txt; Quest requirement: countitem in npc/re/quests/quests_dewata.txt; Quest requirement: delitem in npc/re/quests/quests_dewata.txt,npc/re/jobs/novice/academy.txt; npc/re/quests/quests_dewata.txt
985,Elunium,Job quest: getitem in npc/re/jobs/novice/academy.txt; Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: countitem in npc/re/quests/newgears/2010_headgears.txt,npc/re/jobs/novice/academy.txt; npc/re/quests/quests_16_2.txt
986,Anvil,No valid mob drops found in mob_db.yml; NPC Shop: getitem in npc/merchants/refine.txt; Quest requirement: countitem in npc/quests/the_sign_quest.txt,mob_db.yml; npc/merchants/refine.txt
987,Oridecon Anvil,No valid mob drops found in mob_db.yml; NPC Shop: getitem in npc/merchants/refine.txt; Quest requirement: countitem in npc/quests/the_sign_quest.txt,mob_db.yml; npc/merchants/refine.txt
988,Golden Anvil,No valid mob drops found in mob_db.yml; NPC Shop: getitem in npc/merchants/refine.txt; Quest requirement: countitem in npc/quests/the_sign_quest.txt,mob_db.yml; npc/merchants/refine.txt
989,Emperium Anvil,No valid mob drops found in mob_db.yml; Quest requirement: countitem in npc/quests/the_sign_quest.txt; Quest requirement: delitem in npc/quests/the_sign_quest.txt,mob_db.yml; npc/quests/the_sign_quest.txt
990,Red Blood,Job quest: countitem in npc/re/jobs/3-2/sorcerer.txt; Job quest: countitem in npc/jobs/2-1/wizard.txt; Job quest: delitem in npc/jobs/2-1/wizard.txt,npc/re/jobs/3-2/sorcerer.txt; npc/jobs/2-1/wizard.txt
991,Crystal Blue,Job quest: countitem in npc/re/jobs/3-2/sorcerer.txt; Job quest: getitem in npc/jobs/2-2/sage.txt; Job quest: countitem in npc/jobs/2-1/wizard.txt,npc/re/jobs/3-2/sorcerer.txt; npc/jobs/2-2/sage.txt
992,Wind of Verdure,Job quest: countitem in npc/re/jobs/3-2/sorcerer.txt; Job quest: getitem in npc/jobs/2-2/sage.txt; Job quest: countitem in npc/jobs/2-1/wizard.txt,npc/re/jobs/3-2/sorcerer.txt; npc/jobs/2-2/sage.txt
993,Green Live,Job quest: countitem in npc/re/jobs/3-2/sorcerer.txt; Job quest: getitem in npc/jobs/2-2/sage.txt; Job quest: countitem in npc/jobs/2-1/wizard.txt,npc/re/jobs/3-2/sorcerer.txt; npc/jobs/2-2/sage.txt
994,Flame Heart,Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: delitem in npc/re/quests/quests_16_2.txt; Job quest: countitem in npc/jobs/2-1e/StarGladiator.txt,npc/re/quests/quests_16_2.txt; npc/jobs/2-1e/StarGladiator.txt
995,Mystic Frozen,Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: delitem in npc/re/quests/quests_16_2.txt; Job quest: countitem in npc/jobs/2-1e/StarGladiator.txt,npc/re/quests/quests_16_2.txt; npc/jobs/2-1e/StarGladiator.txt
996,Rough Wind,Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: delitem in npc/re/quests/quests_16_2.txt; Job quest: countitem in npc/jobs/2-1e/StarGladiator.txt,npc/re/quests/quests_16_2.txt; npc/jobs/2-1e/StarGladiator.txt
997,Great Nature,Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: delitem in npc/re/quests/quests_16_2.txt; Job quest: countitem in npc/jobs/2-1e/StarGladiator.txt,npc/re/quests/quests_16_2.txt; npc/jobs/2-1e/StarGladiator.txt
998,Iron,Job quest: countitem in npc/re/jobs/2e/kagerou_oboro.txt; Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: countitem in npc/re/quests/eden/eden_quests.txt,npc/re/jobs/2e/kagerou_oboro.txt; npc/re/quests/quests_16_2.txt
999,Steel,Job quest: countitem in npc/re/jobs/2e/kagerou_oboro.txt; Quest requirement: countitem in npc/re/quests/pile_bunker.txt; Quest requirement: delitem in npc/re/quests/pile_bunker.txt,npc/re/jobs/2e/kagerou_oboro.txt; npc/re/quests/pile_bunker.txt
1000,Star Crumb,Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: delitem in npc/re/quests/quests_16_2.txt; Job quest: countitem in npc/jobs/2-1e/StarGladiator.txt,npc/re/quests/quests_16_2.txt; npc/jobs/2-1e/StarGladiator.txt
1001,Star Dust,Quest requirement: countitem in npc/re/quests/quests_16_1.txt; Quest requirement: delitem in npc/re/quests/quests_16_1.txt; Job quest: countitem in npc/jobs/2-1e/StarGladiator.txt,npc/re/quests/quests_16_1.txt; npc/jobs/2-1e/StarGladiator.txt
1002,Iron Ore,Job quest: getitem in npc/re/jobs/2e/kagerou_oboro.txt; Job quest: countitem in npc/re/jobs/2e/kagerou_oboro.txt; Quest requirement: countitem in npc/re/quests/eden/eden_quests.txt,npc/re/jobs/2e/kagerou_oboro.txt; npc/re/quests/eden/eden_quests.txt
1003,Coal,Quest requirement: countitem in npc/re/quests/quests_16_2.txt; Quest requirement: delitem in npc/re/quests/quests_16_2.txt; Quest requirement: countitem in npc/quests/quests_hugel.txt,npc/re/quests/quests_16_2.txt; npc/quests/quests_hugel.txt
1004,Chivalry Emblem,Job quest: countitem in npc/jobs/2-2/crusader.txt; Job quest: delitem in npc/jobs/2-2/crusader.txt; Quest requirement: countitem in npc/quests/monstertamers.txt,npc/jobs/2-2/crusader.txt; npc/quests/monstertamers.txt
1005,Hammer of Blacksmith,Job quest: countitem in npc/jobs/2-2/alchemist.txt; Job quest: delitem in npc/jobs/2-2/alchemist.txt; Job quest: countitem in npc/jobs/2-1/blacksmith.txt,npc/jobs/2-2/alchemist.txt; npc/jobs/2-1/blacksmith.txt
1006,Old Magicbook,Job quest: countitem in npc/jobs/2-2/alchemist.txt; Job quest: delitem in npc/jobs/2-2/alchemist.txt; Job quest: countitem in npc/jobs/2-2/sage.txt,npc/jobs/2-2/alchemist.txt; npc/jobs/2-2/sage.txt
1007,Necklace of Wisdom,Job quest: countitem in npc/jobs/2-2/sage.txt; Job quest: delitem in npc/jobs/2-2/sage.txt; Job quest: countitem in npc/jobs/2-1/hunter.txt,npc/jobs/2-2/sage.txt; npc/jobs/2-1/hunter.txt
1008,Necklace of Oblivion,Job quest: countitem in npc/jobs/2-1/assassin.txt; Job quest: delitem in npc/jobs/2-1/assassin.txt; Job quest: getitem in npc/jobs/2-1/assassin.txt,npc/jobs/2-1/assassin.txt; npc/quests/doomed_swords.txt
1009,Hand of God,Job quest: countitem in npc/jobs/2-2/crusader.txt; Job quest: delitem in npc/jobs/2-2/crusader.txt,npc/jobs/2-2/crusader.txt
1010,Phracon,Job quest: getitem in npc/re/jobs/2e/kagerou_oboro.txt; Job quest: countitem in npc/re/jobs/2e/kagerou_oboro.txt; Job quest: getitem in npc/re/jobs/novice/novice.txt,npc/re/jobs/2e/kagerou_oboro.txt; npc/re/jobs/novice/novice.txt
1011,Emveretarcon,Job quest: countitem in npc/re/jobs/2e/kagerou_oboro.txt; Job quest: getitem in npc/re/jobs/novice/academy.txt; NPC Shop: countitem in npc/pre-re/merchants/ammo_dealer.txt,npc/re/jobs/2e/kagerou_oboro.txt; npc/re/jobs/novice/academy.txt
1012,Frill,Quest requirement: countitem in npc/pre-re/quests/collection/quest_frilldora.txt; Quest requirement: delitem in npc/pre-re/quests/collection/quest_frilldora.txt; Quest requirement: countitem in npc/quests/partyrelay.txt,npc/pre-re/quests/collection/quest_frilldora.txt; npc/quests/partyrelay.txt
1013,Rainbow Shell,Job quest: countitem in npc/jobs/1-1e/gunslinger.txt; Job quest: delitem in npc/jobs/1-1e/gunslinger.txt; Quest requirement: countitem in npc/quests/guildrelay.txt,npc/jobs/1-1e/gunslinger.txt; npc/quests/guildrelay.txt
1015,Tongue,Quest requirement: countitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: delitem in npc/custom/quests/thq/THQS_Quests.txt; Quest requirement: countitem in npc/quests/partyrelay.txt,npc/custom/quests/thq/THQS_Quests.txt; npc/quests/partyrelay.txt
1016,Rat Tail,Quest requirement: countitem in npc/re/quests/quests_eclage.txt; Quest requirement: delitem in npc/re/quests/quests_eclage.txt; Quest requirement: countitem in npc/re/quests/quests_malangdo.txt,npc/re/quests/quests_eclage.txt; npc/re/quests/quests_malangdo.txt
