// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

547,499,100	// White_Slim_Potion
1635,8,100	// BF_Staff4
1640,8,100	// Krieger_Onehand_Staff1
1641,8,100	// Krieger_Onehand_Staff2
1644,32,100	// Piercing_Staff_M
1645,32,100	// Lich_Bone_Wand_M
1650,8,100	// P_Staff1
1651,8,100	// P_Staff2
1652,8,100	// Tourist_Staff
1658,8,100	// P_Staff3
//1667,8,100	//
1735,32,100	// Kkakkung
1738,8,100	// BF_Bow1
1739,8,100	// BF_Bow2
1743,8,100	// Krieger_Bow1
1747,8,100	// P_Bow1
1748,8,100	// P_Bow2
1749,8,100	// Tourist_Bow
1823,8,100	// BF_Knuckle1
1824,8,100	// BF_Knuckle2
1826,8,100	// Krieger_Knuckle1
1827,8,100	// Krieger_Knuckle2
1831,8,100	// P_Knuckle1
//1834,8,100	//
1921,32,100	// Guh_Moon_Gom
1923,8,100	// BF_Instrument1
1924,8,100	// BF_Instrument2
1927,8,100	// Krieger_Instrument1
1931,8,100	// P_Guitar1
//1932,8,100	//
1938,40,100	// Infinity_Violin
1975,32,100	// Queen_Is_Whip
1977,8,100	// BF_Whip1
1978,8,100	// BF_Whip2
1981,8,100	// Krieger_Whip1
1986,8,100	// P_Tail1
//1987,8,100	//
1994,40,100	// Infinity_Whip
2002,8,100	// Krieger_Twohand_Staff1
2003,32,100	// Destruction_Rod_M
2018,8,100	// Metal_Staff
//2019,8,100	//
2024,40,100	// Infinity_Two-handed_Stick
2112,8,100	// Novice_Guard
2127,32,100	// Secular_Mission
2145,40,100	// Time_Keepr_Shield
//2178,8,100	//
//2179,8,100	//
//2180,8,100	//
2352,8,100	// Novice_Plate
2358,32,100	// Dress_Of_Angel
2368,40,100	// Golden_Armor
2370,32,100	// Used_Mage_Coat
2376,8,100	// Assaulter_Plate
2377,8,100	// Elite_Engineer_Armor
2378,8,100	// Assassin_Robe
2379,8,100	// Warlock_Battle_Robe
2380,8,100	// Medic_Robe
2381,8,100	// Elite_Archer_Suit
2382,8,100	// Elite_Shooter_Suit
2393,8,100	// N_Adventurer's_Suit
2394,8,100	// Krieger_Suit1
2395,8,100	// Krieger_Suit2
2396,8,100	// Krieger_Suit3
2398,32,100	// Sniping_Suit_M
2414,8,100	// Novice_Boots
2427,40,100	// Golden_Shoes
2429,8,100	// Iron_Boots01
2430,8,100	// Iron_Boots02
2431,32,100	// Valley_Shoes
2435,8,100	// Battle_Greave
2436,8,100	// Combat_Boots
2437,8,100	// Battle_Boots
2438,40,100	// Paw_Of_Cat
2443,8,100	// Fish_Shoes
2444,8,100	// Krieger_Shoes1
2445,8,100	// Krieger_Shoes2
2446,8,100	// Krieger_Shoes3
2449,32,100	// Variant_Shoes_M
2455,40,100	// Time_Keepr_Boots
2456,8,100	// Para_Team_Boots1
2457,8,100	// Para_Team_Boots2
2458,8,100	// Para_Team_Boots3
2473,8,100	// Para_Team_Boots4
//2496,8,100	//
//2497,8,100	//
//2498,8,100	//
2510,8,100	// Novice_Hood
2534,32,100	// Ruffler
2538,8,100	// Commander_Manteau
2539,8,100	// Commander_Manteau_
2540,8,100	// Sheriff_Manteau
2549,8,100	// Krieger_Muffler1
2551,32,100	// Rider_Insignia_M
2552,32,100	// Mithril_Magic_Cape_M
2559,40,100	// Time_Keepr_Manteau
2560,8,100	// Para_Team_Manteau1
2568,40,100	// Muffler_Of_Roki
2571,8,100	// Para_Team_Manteau2
2634,507,100	// Bridegroom_Ring
2635,507,100	// Bride_Ring
2668,8,100	// Women's_Glory
2670,32,100	// Ring_Of_Longing
2686,32,100	// Elven_Ears_C
2704,40,100	// Golden_Accessory
2705,40,100	// Golden_Accessory2
2707,32,100	// GUSLI
2708,32,100	// Chinese_Handicraft
2720,8,100	// Medal_Swordman
2721,8,100	// Medal_Thief
2722,8,100	// Medal_Acolyte
2723,8,100	// Medal_Mage
2724,8,100	// Medal_Archer
2725,8,100	// Medal_Merchant
2730,40,100	// Morroc_Seal
2731,40,100	// Morroc_Charm_Stone
2732,40,100	// Morroc_Ring
2733,8,100	// Medal_Gunner
2751,40,100	// Academy_Badge
2766,8,100	// Swordman_Figure
2767,8,100	// Acolyte_Figure
2768,8,100	// Mage_Figure
2769,8,100	// Archer_Figure
2770,8,100	// Thief_Figure
2771,8,100	// Merchant_Figure
2772,8,100	// Krieger_Ring1
2773,8,100	// Krieger_Ring2
2774,8,100	// Krieger_Ring3
2777,506,100	// Shaman_Ring
2778,506,100	// Shaman_Earing
2779,506,100	// Dark_Knight_Belt
2780,506,100	// Dark_Knight_Glove
2781,506,100	// Aumdura's_Grace
2782,32,100	// Ring_Of_Wise_King
2785,32,100	// Orleans_Glove_M
2795,8,100	// Green_Apple_Ring
2798,8,100	// Will_Of_Exhausted_Angel
2819,8,100	// Swordman_Manual
2820,8,100	// Thief_Manual
2821,8,100	// Acolyte_Manual
2822,8,100	// Archer_Manual
2823,8,100	// Merchant_Manual
2823,8,100	// Merchant_Manual
2824,8,100	// Mage_Manual
2825,506,100	// Shaman_EaringB
2826,506,100	// Dark_Knight_BeltB
2827,506,100	// Dark_Knight_GloveB
2844,32,100	// El_Dicastes_Light
2858,32,100	// Pendant_Of_Guardian
2864,8,100	// Light_Of_Cure
2865,8,100	// Seal_Of_Cathedral
2866,8,100	// Ring_Of_Archbishop
2872,32,100	// G_Honor_Certificate
2875,32,100	// RO_Appreciation_Ring
2885,8,100	// Mother_Heart
2897,32,100	// 2011RWC_Necklace_J
2915,40,100	// Ettlang_Keepsake
2916,32,100	// Fairy_Wing
2940,8,100	// Ninja_Manual
2941,8,100	// Gunslinger_Manual
2942,8,100	// Taekwon_Manual
//2944,8,100	//
//2945,8,100	//
//2946,8,100	//
2981,40,100	// Warrior's_Ring
2997,32,100	// RWC_Gold_Brooch
2999,32,100	// RWC_Brooch
5106,40,100	// Cone_Hat_INA
5132,32,100	// Angeling_Hat
5149,8,100	// Silver_Tiara
5154,32,100	// Sunglasses_F
5155,32,100	// Granpa_Beard_F
5156,32,100	// Flu_Mask_F
5179,8,100	// Gold_Tiara
5254,32,100	// Deviling_Hat
5295,40,100	// Golden_Bandana
5308,32,100	// Brazilian_Flag_Hat
5309,32,100	// Mahican
5318,40,100	// Poring_Party_Hat
5320,32,100	// Champion_Wreath
5322,32,100	// Scarf
5323,32,100	// Misstrance_Crown
5357,32,100	// Wings_Of_Victory
5368,32,100	// White_Wing
5369,32,100	// Dark_Wing
5406,40,100	// Academy_Freshman_Hat
5407,40,100	// Academy_Graduating_Cap
5410,8,100	// Bread_Bag2
5412,40,100	// Sweet_Candy
5413,40,100	// Popcorn_Hat
5414,40,100	// Campfire_Hat
5423,498,100	// Lovecap_China
5428,32,100	// Bread_Bag1
5430,506,100	// Sacred_Torch_Coronet
5450,32,100	// Sun_Cap
5451,32,100	// Dragonhelm_Gold
5451,32,100	// Dragonhelm_Gold
5452,32,100	// Dragonhelm_Silver
5452,32,100	// Dragonhelm_Silver
5453,32,100	// Dragonhelm_Copper
5453,32,100	// Dragonhelm_Copper
5460,8,100	// Adv_Dragon_Skull
5461,8,100	// Adv_Whisper_Mask
5479,506,100	// Shaman's_Hair_Ornament
5480,506,100	// Bizofnil_Wing_Deco
5481,506,100	// Hermose_Cap
5482,506,100	// Dark_Knight_Mask
5483,506,100	// Odin_Mask
5544,40,100	// Time_Keeper_Hat
5551,8,100	// Holy_Egg_Hat
5577,506,100	// Dark_Knight_MaskB
5583,8,100	// Para_Team_Hat1
5587,8,100	// Mosquito_Coil_1Use
5592,32,100	// Sigrun's_Wings
5603,32,100	// RTC_Winner_Only
5604,32,100	// RTC_Second_Best
5605,32,100	// RTC_Third_Best
5668,8,100	// Weird_Pumpkin_Hat
5746,40,100	// Rune_Circlet
5747,40,100	// Mitra
5748,40,100	// Sniper_Goggle
5749,40,100	// Driver_Band
5750,40,100	// Shadow_Handicraft
5751,40,100	// Minstrel_Song_Hat
5752,40,100	// Midas_Whisper
5753,40,100	// Magic_Stone_Hat
5754,40,100	// Blazing_Soul
5755,40,100	// Silent_Executer
5756,40,100	// Wind_Whisper
5757,40,100	// Schmidt_Helm
5758,40,100	// Dying_Swan
5760,40,100	// Driver_Band_
5786,32,100	// Ancient_Elven_Ear
5788,32,100	// 3D_Glasses
5796,8,100	// Cheer_Scarf
5805,32,100	// Victorious_Coronet
5806,32,100	// Poem_Natalia_Hat
5809,40,100	// Boom_Boom_Hat
5814,8,100	// Ati_Atihan_Hat3
5820,40,100	// Black_Elven_Ears
5821,40,100	// Gold_Tulip_Hairpin
5822,8,100	// Love_Chick_Hat
5823,40,100	// Love_Arrow
5855,8,100	// Fishing_Rod
5864,32,100	// Shadow_Booster
6000,32,100	// Dark_Ashes
6005,40,100	// New_Year_Rice_Cake
6006,8,100	// Rice_Cake_Delivery_Box
6007,8,100	// New_Year_Rice_Cake_Soup
6009,8,100	// Large_Magical_Fan
6024,499,100	// 17Carat_Dia
6026,32,100	// Marriage_Covenant
6036,8,100	// Invite_To_Meeting
6038,8,100	// Neat_Report
6039,8,100	// Piece_Of_Fish
6040,8,100	// Some_Of_Report
6042,8,100	// Ordinary_Branch
6043,8,100	// Letter_From_Lugen
6044,8,100	// Letter_From_Otto
6045,8,100	// Supply_Box
6046,32,100	// Clothing_Dye_Coupon
6047,32,100	// Clothing_Dye_Coupon_II
6048,8,100	// Unidentified_Mineral
6049,8,100	// Marlin
6050,32,100	// Mercenary_Contract
6051,8,100	// Gray_Hollow
6060,8,100	// Moon_Admin_Ticket
6070,32,100	// Shaman's_Old_Paper
6071,32,100	// Broken_Sword
6072,32,100	// Wing_Of_Bizofnil
6074,8,100	// Bazett's_Order
6093,8,100	// Egg_Of_Draco
6101,8,100	// Attendance_Card
6129,32,100	// Ticket_Nightmare
6131,32,100	// Ticket_Goblin_Leader
6131,32,100	// Ticket_Goblin_Leader
6131,32,100	// Ticket_Goblin_Leader
6136,32,100	// Ticket_Medusa
6142,32,100	// Ticket_Golem
6143,32,100	// Ticket_Civil_Servant
6148,8,100	// Chocolate_Of_Eternity
6149,8,100	// Plain_Chocolate
6151,8,100	// Peice_Of_Great_Bradium
6152,8,100	// Glittering_Crystal
6154,8,100	// Broken_Horn_Pipe
6156,8,100	// Approval_Report
6157,32,100	// Poring_Ticket
6158,32,100	// Drops_Ticket
6159,32,100	// Poporing_Ticket
6160,32,100	// Lunatic_Ticket
6161,32,100	// Picky_Ticket
6162,32,100	// Pecopeco_Ticket
6163,32,100	// Savage_Baby_Ticket
6164,32,100	// Spore_Ticket
6165,32,100	// Poison_Spore_Ticket
6166,32,100	// Chonchon_Ticket
6167,32,100	// Steel_Chonchon_Ticket
6168,32,100	// Petit_Ticket
6169,32,100	// Deviruchi_Ticket
6170,32,100	// Isis_Ticket
6171,32,100	// Smokie_Ticket
6172,32,100	// Dokebi_Ticket
6173,32,100	// Desert_Wolf_B_Ticket
6174,32,100	// Yoyo_Ticket
6175,32,100	// Sohee_Ticket
6176,32,100	// Rocker_Ticket
6177,32,100	// Hunter_Fly_Ticket
6178,32,100	// Orc_Warrior_Ticket
6179,32,100	// Bapho_Jr_Ticket
6180,32,100	// Munak_Ticket
6181,32,100	// Bongun_Ticket
6182,32,100	// Goblin_Ticket
6183,32,100	// Hardtack_Ticket
6184,32,100	// Zherlthsh_Ticket
6184,32,100	// Zherlthsh_Ticket
6185,32,100	// Alice_Ticket
6206,8,100	// I_Love_You
6207,8,100	// Thank_You
6208,8,100	// I_Respect_You
6225,32,100	// HD_Carnium
6226,32,100	// HD_Bradium
6228,32,100	// Guarantee_Weapon_9Up
6229,32,100	// Guarantee_Weapon_8Up
6230,32,100	// Guarantee_Weapon_7Up
6231,32,100	// Guarantee_Weapon_6Up
6232,32,100	// Guarantee_Armor_9Up
6233,32,100	// Guarantee_Armor_8Up
6234,32,100	// Guarantee_Armor_7Up
6235,32,100	// Guarantee_Armor_6Up
6236,8,100	// Blue_Card_7
6238,32,100	// Guarantee_Weapon_11Up
6239,32,100	// Guarantee_Armor_11Up
6240,32,100	// HD_Oridecon
6241,32,100	// HD_Elunium
6242,498,100	// Midgard_Coin
6270,8,100	// Mins_Picture
6271,8,100	// Mins_Receipt
6296,8,100	// RF_Taining_Notice
6298,8,100	// Pumpkin_Head_Crushed
6299,8,100	// Worn_Cloth_Piece
6304,32,100	// Sapa_Feat_Cert
6308,32,100	// Unidentified_Relic
6320,32,100	// Premium_Reset_Stone
//6327,32,100	//
6345,8,100	// Love_Ball
6347,8,100	// Bless_Word_Paper1
6348,8,100	// Bless_Word_Paper2
6349,8,100	// Bless_Word_Paper3
6350,8,100	// Bless_Word_Paper4
6351,8,100	// Bless_Word_Paper5
6352,8,100	// Bless_Word_Paper6
6353,8,100	// Bless_Word_Paper7
6354,8,100	// Bless_Word_Paper8
6355,8,100	// Bless_Word_Paper9
6356,8,100	// Bless_Word_Paper10
6357,8,100	// Fortune_Cookie_Fail
6377,40,100	// Buy_Market_Permit
6378,8,100	// Winning_Mark
6380,40,100	// Mora_Coin
6383,8,100	// Clue_Of_Lope
6386,8,100	// Bathtub_R_Sample
6387,8,100	// Teeth_Sample
6388,8,100	// Scale_Sample
6389,8,100	// Puddle_R_Sample
6390,8,100	// Small_Pocket
6391,8,100	// Splendid_Supply_Kit
6392,8,100	// Bradium_Box
6396,32,100	// Auger_Of_Spirit
6402,8,100	// Oil_Palm_F
6411,8,100	// Ripe_Watermelon
6416,8,100	// Pet_Exchange
6417,32,100	// Silvervine
6418,8,100	// Agrade_Coin
6419,8,100	// Bgrade_Coin
6420,8,100	// Cgrade_Coin
6421,8,100	// Dgrade_Coin
6422,8,100	// Egrade_Coin
6424,8,100	// Halloween_Fragment
6425,8,100	// Halloween_Certificate
6426,8,100	// Bad_Can
6430,8,100	// Picture_Piece
6431,8,100	// Bucket
6432,8,100	// Full_Bucket
6433,8,100	// Clean_Brush
6434,8,100	// Fix_Kit
6435,8,100	// Fresh_Fruit
6440,32,100	// General_Lubricant
6441,32,100	// High_RankLubricant
6443,32,100	// Sillit_Pong_Bottle
6444,32,100	// Emperium_G
6451,8,100	// Unknown_Fish
6456,32,100	// Guarantee_Weapon_5Up
6457,32,100	// Guarantee_Armor_5Up
6464,8,100	// Hate_Bundle
6465,40,100	// Guard_Coin
6484,32,100	// Enchant_Book
6488,40,100	// Thanks_Invest_Ticket
6489,40,100	// Cats_Invest_Certif
6500,8,100	// Sharp_Bamboo
6501,8,100	// Salt_Bag
6502,8,100	// Silver_Cross
6503,40,100	// Soul_Protection
6504,8,100	// Cast_Iron_Caldron
6505,8,100	// Purified_Bone
6506,8,100	// Memorial_Bouquet
6507,8,100	// Evil_Bone
6519,40,100	// Collected_Samples
6520,40,100	// Lost_Belongings
6536,40,100	// Star_Decor
6539,8,100	// Old_Left_Lapine
6540,8,100	// Golden_Leaf
6541,8,100	// Avant_Research_Data
6542,40,100	// Star_Shape_Mushroom
6543,8,100	// Lv110_Achieved_Coin
6544,8,100	// Lv120_Achieved_Coin
6545,8,100	// Firm_Hair
6546,8,100	// Younger_Bro_Letter
6547,8,100	// Stained_Research_Book
6548,8,100	// Piece_Of_Lapine_Wing
6549,8,100	// Courtesy_Ticket
6556,8,100	// Nespresso_Ticket
6566,8,100	// Cacao99_Recipe
6567,8,100	// Choco_Drink_Recipe
//6584,32,100	//
//6584,32,100	//
//6585,32,100	//
//6585,32,100	//
6593,8,100	// Cryptura_Hair_Coupon
6625,40,100	// High_Purity_Energy_Xtal
6654,8,100	// Needle_And_Thread
6655,8,100	// Firm_Pumpkin
6656,8,100	// Goast_Free_Charm
6657,8,100	// Memory_Of_Jack
6671,40,100	// Geffen_Coin_Magic_Tournament
6672,40,100	// Black_As_Night_Piece
6681,40,100	// XMAS_Cookie
6682,8,100	// Bag_Of_Selling_Goods
6684,40,100	// Proof_of_The_Heroic
6685,8,100	// Morocc_Certification
6689,40,100	// Fire_Beetle_Shell
6690,40,100	// Delicious_Stem
6698,8,100	// Wooden_Axe
6699,8,100	// Faith_Silence
6700,8,100	// White_Snake_Scale
6701,8,100	// Treasure_Dwarf
6702,8,100	// Sweat_Dwarf
6703,8,100	// Warrior_Tears
6704,8,100	// Warrior_Anger
6705,8,100	// Warrior_Certificate
6706,8,100	// Guardian_Flowers
6708,8,100	// Magic_Crystal
6709,8,100	// Crisp_Silk
6710,8,100	// Tied_Snake
6713,8,100	// Heart_of_Soul
6714,8,100	// Sheenas_Soul
6715,40,100	// Gods_Soul_Piece
6722,8,100	// Delicious_Clam_Flesh
6723,8,100	// Delicious_Canned_Food
6727,8,100	// Arranged_Photo_Album
6733,8,100	// Tingly_Feather
6746,8,100	// Iron_Artifacts
6747,8,100	// Steel_Workpiece
6752,40,100	// Charleston_Parts
6766,8,100	// Ice_World_Ticket
6767,8,100	// Summer_Fes_Coin
6768,8,100	// Red_Beans_Of_Ice
6769,8,100	// Sweet_Rice_Cake
6814,32,100	// Swordman_Soul
6815,32,100	// Merchant_Soul
6816,32,100	// Thief_Soul
6817,32,100	// Mage_Soul
6818,32,100	// Archer_Soul
6819,32,100	// Acolyte_Soul
6820,32,100	// Energy_Debris
6821,40,100	// Solo_Troops_Badge
6825,8,100	// Air_Cleaner_Box
6826,8,100	// Fresh_Grapes
6827,8,100	// Complete_Machine_Parts
6833,32,100	// (Limited)_Token_of_Ziegfried
6836,8,100	// Talisman_Of_Soul
6837,8,100	// Piece_Of_Soul_Mouse
6838,8,100	// Secret_Orders_Of_Prophet_K
6839,40,100	// Gold_Choco_Coin
6840,40,100	// Silver_Choco_Coin
6841,40,100	// Bronze_Choco_Coin
6842,8,100	// Huge_Jewery
6843,8,100	// Thin_Ring
6844,8,100	// Mild_Stone
6845,8,100	// That_Thing
6846,32,100	// (Limited)Gym_Membership_Card
6847,8,100	// Very_Small_Box
6848,8,100	// Light_Box
//6849,8,100	//
//6850,8,100	//
//6851,8,100	//
//6852,8,100	//
//6853,8,100	//
//6854,8,100	//
//6855,8,100	//
//6856,8,100	//
//6857,8,100	//
//6858,8,100	//
//6859,8,100	//
6860,8,100	// Piece_Of_Soul_Cow
6862,8,100	// Piece_Of_Soul_Tiger
6863,8,100	// Strong_Piece_Of_Soul_Tiger
6864,32,100	// Safe_to_19_Weapon_Certificate
6865,32,100	// Safe_to_19_Armor_Certificate
6866,8,100	// Piece_Of_Soul_Rabbit
6867,8,100	// Large_Insect_Barrel
6868,8,100	// Medium_Insect_Barrel
6869,8,100	// Dust
6870,32,100	// Safe_to_13_Weapon_Certificate
6871,32,100	// Safe_to_14_Weapon_Certificate
6872,32,100	// Safe_to_15_Weapon_Certificate
6873,32,100	// Safe_to_16_Weapon_Certificate
6874,32,100	// Safe_to_17_Weapon_Certificate
6875,32,100	// Safe_to_18_Weapon_Certificate
6876,32,100	// Safe_to_13_Armor_Certificate
6877,32,100	// Safe_to_14_Armor_Certificate
6878,32,100	// Safe_to_15_Armor_Certificate
6879,32,100	// Safe_to_16_Armor_Certificate
6880,32,100	// Safe_to_17_Armor_Certificate
6881,32,100	// Safe_to_18_Armor_Certificate
6883,32,100	// Pet_Snow_Bunny_Exchange_Ticket
6884,32,100	// Pet_Tikbalang_Exchange_Ticket
6885,8,100	// Piece_Of_Soul_Dragon
6886,8,100	// Strong_Piece_Of_Soul_Dragon
6904,8,100	// Piece_Of_Soul_Snake
//6906,32,100	//
6907,8,100	// Piece_Of_Soul_Horse
6909,32,100	// Actinidia_Cat_Fruit
6910,32,100	// (Limited)Purified_Oridecon
6911,32,100	// (Limited)Purified_Eluminium
6912,8,100	// Piece_Of_Soul_Sheep
6914,8,100	// Black_Horn
6915,8,100	// Captured_Soul
6916,8,100	// Piece_Of_Soul_Monkey
6917,8,100	// Piece_Of_Soul_Chicken
//6919,8,100	//
//6920,40,100	//
//6923,8,100	//
//6925,8,100	//
//6926,8,100	//
//6927,8,100	//
//6928,8,100	//
//6929,8,100	//
//6930,8,100	//
//6931,8,100	//
//6932,8,100	//
//6933,8,100	//
//6934,8,100	//
//6935,8,100	//
//6953,32,100	//
//6954,8,100	//
//6955,8,100	//
//6956,8,100	//
//6957,8,100	//
//6960,40,100	//
//6993,32,100	//
//6994,32,100	//
7025,32,100	// Lucifer's_Lament
7037,32,100	// Trade_Coupon
7059,8,100	// Cargo_Free_Ticket
7060,8,100	// Warp_Free_Ticket
7061,8,100	// Cart_Free_Ticket
7140,506,100	// Seed_Of_Life
7170,506,100	// Tuxedo
7368,8,100	// Lotto08
7416,32,100	// Letter_Of_Recommend
7417,32,100	// Mission_ScrollA
7418,32,100	// Mission_ScrollB
7420,498,100	// Skull_
7421,8,100	// Key_Red
7422,8,100	// Key_Yellow
7423,8,100	// Key_Blue
7424,8,100	// Key_Green
7425,8,100	// Key_Black
7426,8,100	// Magic_Gem_Red
7427,8,100	// Magic_Gem_Yellow
7428,8,100	// Magic_Gem_Blue
7429,8,100	// Magic_Gem_Green
7430,8,100	// Magic_Gem_Black
7431,8,100	// Several_Books
7506,8,100	// Black_Key_Card
7509,32,100	// Fancy_Key_Card
7515,499,100	// Marvelous_Medal
7516,8,100	// Green_Key_Card
7518,8,100	// Women's_Medal
7527,1,100	// Life_Book
7538,499,100	// Sifted_Sand
7539,499,100	// Poring_Coin
7547,8,100	// Soccer_Ball
7548,8,100	// Soccer_Shoes
7549,8,100	// Brazilian_Flag
7550,8,100	// Ticket01
7551,8,100	// Ticket02
7552,8,100	// Ticket03
7553,8,100	// Lotus_Flower
7554,8,100	// Striped_Candle
7555,8,100	// Green_Incense
7556,32,100	// Longing_Heart
7557,32,100	// Invitation_Letter
7558,32,100	// Invitation_Ticket
7559,32,100	// Key_Of_Flower_Garden
7569,32,100	// Hammer_Of_Wind
7572,32,100	// Magic_Necklace
7573,32,100	// Magic_Necklace_
7575,8,100	// Red_Jewel_
7576,8,100	// Blue_Jewel_
7577,8,100	// Golden_Jewel_
7579,8,100	// Silk_Handkerchief
7580,8,100	// Black_Bead
7583,8,100	// Evil_Mind
7584,8,100	// Proof_Of_Guard1
7585,8,100	// Proof_Of_Guard2
7586,8,100	// Proof_Of_Guard3
7587,8,100	// Proof_Of_Guard4
7588,8,100	// IPOD_Ticker
7603,8,100	// RO_Party_Ticket
7614,8,100	// Special_Packing_Paper
7618,8,100	// Monster_Crystal
7619,32,100	// Enriched_Elunium
7620,32,100	// Enriched_Oridecon
7621,32,100	// Token_Of_Siegfried
7622,32,100	// New_Style_Coupon
7630,8,100	// Clean_Beach_Brush
7631,8,100	// Trash_Debris
7690,32,100	// Special_Exchange_Coupons
7701,8,100	// Dragon_Spirit
7715,8,100	// Handmade_Choco_Recipe
7716,8,100	// Strawberry_Choco_Recipe
7717,8,100	// Choco_Tart_Recipe
7720,40,100	// Gold_Coin_US
7727,8,100	// HP_Doctor_Ticket
7728,8,100	// SP_Doctor_Ticket
7729,8,100	// Rok_Star_Badge
7730,499,100	// Mission_Certificate1
7731,499,100	// Mission_Certificate2
7732,499,100	// Mission_Certificate3
7733,499,100	// Mission_Certificate4
7734,499,100	// Mission_Certificate5
7735,499,100	// Mission_Certificate6
7736,499,100	// Mission_Certificate7
7737,499,100	// Mission_Certificate8
7738,499,100	// Mission_Certificate9
7739,499,100	// Mission_Certificate10
7740,499,100	// Mission_Certificate11
7741,499,100	// Mission_Certificate12
7766,32,100	// Bok_Choy
7767,32,100	// Chung_E_Cake
7773,8,100	// War_Badge
7775,32,100	// Spring_Rabbit_Ticket
7776,32,100	// Max_Weight_Up_Scroll
7779,32,100	// Gold_Key_TW
7780,32,100	// Silver_Key
7784,32,100	// Fawner_Coupon1
7785,32,100	// Fawner_Coupon2
7786,32,100	// Fawner_Coupon3
7787,32,100	// Fawner_Coupon4
7788,32,100	// Fawner_Coupon5
7789,32,100	// Fawner_Coupon6
7790,32,100	// Fawner_Coupon7
7791,32,100	// Fawner_Coupon8
7793,32,100	// Golden_Apple
7794,32,100	// Fate_Of_Crow
7800,32,100	// Golden_Apple_
7801,8,100	// Girl_Fan_Letter
7802,8,100	// Autograph_Book
7803,32,100	// Battle_Manual_TW
7821,32,100	// Green_Apple
7822,32,100	// Whole_Barbecue
7823,32,100	// Meat_Veg_Skewer
7825,32,100	// Heroic_Stone
7827,8,100	// Mineral_Report
7828,8,100	// BF_Badge1
7829,8,100	// BF_Badge2
7839,8,100	// Crystal_Key
7841,8,100	// Spotted_Paper
7842,8,100	// Torn_Paper
7843,8,100	// Old_Paper
7844,8,100	// Burnt_Paper
7863,40,100	// GOLD_ID4
7865,8,100	// Gold_Pouch
7866,8,100	// Certificate
7875,40,100	// Pirate_Box
