// Flagged Items
// <ItemID>,<Flag>
//
// <Flag>:
// 1 - As Dead Branch item (will be logged at `branchlog` table and cannot be used at 'nobranch' mapflag)
// 2 - As item group container, check player's inventory and weight before consumed
// NOTE: For removing flag by import file, use "-" to remove the flag. Example, 604,-1 will removes flag 1 from Branch_Of_Dead_Tree

// Logged as Dead Branch item
12989,2 //Pet_Egg_Scroll6
12990,2 //Pet_Egg_Scroll7
12991,2 //Pet_Egg_Scroll8
12992,2 //Pet_Egg_Scroll9
12993,2 //Pet_Egg_Scroll10
12994,2 //Pet_Egg_Scroll11
13543,2 //CP_Helm_Scroll_Box
13544,2 //CP_Shield_Scroll_Box
13545,2 //CP_Armor_Scroll_Box
13546,2 //CP_Weapon_Scroll_Box
13547,2 //Repair_Scroll_Box
13617,2 //Super_Pet_Egg1
13618,2 //Super_Pet_Egg2
13619,2 //Super_Pet_Egg3
13620,2 //Super_Pet_Egg4
13630,2 //Super_Card_Pet_Egg1
13631,2 //Super_Card_Pet_Egg2
13632,2 //Super_Card_Pet_Egg3
13633,2 //Super_Card_Pet_Egg4
13634,2 //Vigorgra_Package1
13635,2 //Vigorgra_Package2
13636,2 //Vigorgra_Package3
13637,2 //Vigorgra_Package4
13638,2 //Vigorgra_Package5
13639,2 //Vigorgra_Package6
13640,2 //Vigorgra_Package7
13641,2 //Vigorgra_Package8
13642,2 //Vigorgra_Package9
13643,2 //Vigorgra_Package10
13644,2 //Vigorgra_Package11
13645,2 //Vigorgra_Package12
13701,2 //Pet_Egg_Scroll12
13702,2 //Pet_Egg_Scroll13
13703,2 //Pet_Egg_Scroll14
13704,2 //Super_Pet_Egg5
13705,2 //Super_Pet_Egg6
13706,2 //Super_Pet_Egg7
13707,2 //Super_Pet_Egg8
13708,2 //Pet_Egg_Scroll_E
13725,2 //Ramen_Hat_Box
13773,2 //Fire_Brand_Box
13845,2 //Mysterious_Travel_Sack1
13846,2 //Mysterious_Travel_Sack2
13847,2 //Mysterious_Travel_Sack3
13848,2 //Mysterious_Travel_Sack4
13871,2 //Magician_Card_Box
13872,2 //Acolyte_Card_Box
13873,2 //Archer_Card_Box
13874,2 //Swordman_Card_Box
13875,2 //Thief_Card_Box
13876,2 //Merchant_Card_Box
13905,2 //Hard_Core_Set_Box
13906,2 //Kitty_Set_Box
13907,2 //Soft_Core_Set_Box
13908,2 //Deviruchi_Set_Box
13909,2 //MVP_Hunt_Box
13910,2 //Brewing_Box
13911,2 //Christmas_Pet_Scroll
13953,2 //All_In_One_Ring_Box
13989,2 //Acidbomb_10_Box
14001,2 //Basic_Siege_Supply_Box
14002,2 //Adv_Siege_Supply_Box
14003,2 //Elite_Siege_Supply_Box
14242,2 //Beholder_Ring_Box
14243,2 //Hallow_Ring_Box
14244,2 //Clamorous_Ring_Box
14245,2 //Chemical_Ring_Box
14246,2 //Insecticide_Ring_Box
14247,2 //Fisher_Ring_Box
14248,2 //Decussate_Ring_Box
14249,2 //Bloody_Ring_Box
14250,2 //Satanic_Ring_Box
14251,2 //Dragoon_Ring_Box
14296,2 //Angel_Scroll
14297,2 //Devil_Scroll
14298,2 //Surprise_Scroll
14306,2 //RWC_Special_Scroll
14307,2 //RWC_Limited_Scroll
14316,2 //July7_Scroll
14317,2 //Bacsojin_Scroll
14345,2 //Animal_Scroll
14363,2 //Heart_Scroll
14408,2 //New_Year_Scroll
14466,2 //Valentine_Pledge_Box
14469,2 //Ox_Tail_Scroll
14596,2 //Pierre_Treasurebox
14613,2 //RWC_Scroll_2012
14626,2 //Indigo_Scroll
14643,2 //Violet_Scroll
14664,2 //Bi_Hwang_Scroll
14665,2 //Jung_Bi_Scroll
14666,2 //Je_Un_Scroll
14667,2 //Yong_Kwang_Scroll
16245,2 //Tw_April_Scroll
16257,2 //Buddah_Scroll
16304,2 //Evil_Incarnation
16371,2 //Tw_Aug_Scroll
16372,2 //F_Clover_Box_Mouth
16374,2 //Mouth_Bubble_Gum_Box
16385,2 //F_Clover_Box_Mouth2
16386,2 //F_Clover_Box_Mouth4
16389,2 //BGum_Box_In_Mouth2
16390,2 //BGum_Box_In_Mouth4
16409,2 //Tw_Sep_Scroll
16446,2 //Tw_October_Scroll
16456,2 //My_Scroll1
16457,2 //Tw_Nov_Scroll
16466,2 //My_Scroll2
16542,2 //Xmas_Bless
16555,2 //Pr_Reset_Stone_Box
16556,2 //FPr_Reset_Stone_Box
16562,2 //Majestic_Devil_Scroll
16576,2 //Illusion_Nothing
16638,2 //Life_Ribbon_Box
16639,2 //Life_Ribbon_Box2
16640,2 //Life_Ribbon_Box3
16652,2 //Flame_Light
16666,2 //Magic_Candy_Box10
16673,2 //Libra_Scroll
16675,2 //Splash_Scroll
16681,2 //BR_Independence_Scroll
16682,2 //Boarding_Halter_Box
16687,2 //RWC2010_SuitcaseA
16688,2 //RWC2010_SuitcaseB
16741,2 //Hairtail_Box1
16742,2 //Hairtail_Box2
16743,2 //Spearfish_Box1
16744,2 //Spearfish_Box2
16745,2 //Saurel_Box1
16746,2 //Saurel_Box2
16747,2 //Tuna_Box1
16748,2 //Tuna_Box2
16749,2 //Malang_Crab_Box1
16750,2 //Malang_Crab_Box2
16751,2 //Brindle_Eel_Box1
16752,2 //Brindle_Eel_Box2
16757,2 //Hallo_Scroll
16760,2 //Umbala_Spirit_Box2
16761,2 //F_Umbala_Spirit_Box2
16763,2 //Ptotection_Seagod_Box2
16764,2 //Ptotection_Seagod_Box3
16765,2 //Octo_Hstick_Box
16766,2 //Octo_Hstick_Box2
16767,2 //Octo_Hstick_Box3
16770,2 //Silvervine_Fruit_Box10
16771,2 //Silvervine_Fruit_Box40
16774,2 //Asgard_Scroll
16775,2 //Sagittarius_Scroll
16826,2 //Sagittarius_Scr_Box
16972,2 //Weather_Report_Box
16974,2 //Comin_Actor_Box
16976,2 //Hen_Set_Box
16979,2 //Silvervine_Fruit_Box4
16990,2 //Sagittar_Diadem_Scroll
16991,2 //Sagittar_Di_Scroll_Box
16996,2 //Capri_Crown_Scroll
16997,2 //Capri_Crown_Scroll_Box
17011,2 //Capricon_Di_Scroll
17012,2 //Capricon_Di_Scroll_Box
17013,2 //Malang_Woe_Encard_Box
17016,2 //Aquarius_Diadem_Scroll
17017,2 //Aquarius_Di_Scroll_Box
17020,2 //Tw_Nov_Scroll2
17021,2 //Summer_Scroll3
17022,2 //Super_Pet_Egg1_2
17023,2 //Super_Pet_Egg4_2
17024,2 //Lovely_Aquarius_Scroll
17025,2 //Lovely_Aquarius_Box
17026,2 //Boitata_Scroll
17028,2 //Pisces_Diadem_Scroll
17029,2 //Pisces_Diadem_Box
17035,2 //Energetic_Pisces_Scroll
17036,2 //Energetic_Pisces_Box
17050,2 //Aries_Scroll
17051,2 //Aries_Scroll_Box
17062,2 //Taurus_Diadem_Scroll
17063,2 //Taurus_Di_Scroll_Box
17077,2 //Taurus_Crown_Scroll
17078,2 //Taurus_Crown_Scroll_Box
17082,2 //Gemi_Diadem_Scroll
17083,2 //Gemi_Diadem_Scroll_Box
17107,2 //Gemi_Crown_Scroll
17108,2 //Gemi_Crown_Scroll_Box
17138,2 //Ms_Cancer_Scroll
17139,2 //RWC_Super_Scroll
17140,2 //Leo_Scroll
17141,2 //Ms_Virgo_Scroll
17143,2 //Ms_Scorpio_Scroll
17156,2 //TCG_Card_Scroll
17165,2 //Challenge_Kit
17209,2 //Tw_Rainbow_Scroll
17210,2 //Tw_Red_Scroll
17211,2 //Tw_Orange_Scroll
17212,2 //Tw_Yellow_Scroll
17233,2 //Scroll_Of_Death
17234,2 //Scroll_Of_Life
17235,2 //Scroll_Of_Magic
17236,2 //Scroll_Of_Thews
17237,2 //Scroll_Of_Darkness
17238,2 //Scroll_Of_Holiness
17239,2 //Horned_Scroll
17240,2 //Mercury_Scroll
17251,2 //C_Wing_Of_Fly_3Day_Box
17252,2 //RWC_2012_Set_Box
17256,2 //Good_Student_Gift_Box
17257,2 //Bad_Student_Gift_Box
17262,2 //Ex_Def_Potion_Box
22514,2 //Candy_Holder
22558,2 //Lucky_Bag
22669,2 //HALLOWEEN_G_BOX
22685,2 //Solo_Christmas_Gift
